"","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N"
"I1","Acorns 1","Object","Pixabay",4.68627450980392,0.954202711685196,102,2.34653465346535,1.60272045949602,101
"I2","Acorns 2","Object","Pixabay",4.51960784313725,0.841149521760358,102,2.22772277227723,1.39915108632922,101
"I3","Acorns 3","Object","Pixabay",4.75490196078431,0.958921367116694,102,2.30693069306931,1.51487672275618,101
"I4","Alcohol 1","Object","Pixabay",4.68518518518519,1.18911062459953,108,2.86538461538462,1.69555496718665,104
"I5","Alcohol 2","Object","Pixabay",4.25,1.13668644522857,108,3,1.70094205765368,104
"I6","Alcohol 3","Object","Pixabay",4.16666666666667,0.952125021241836,108,2.34615384615385,1.3848643042371,104
"I7","Alcohol 4","Object","Pixabay",4.76851851851852,1.17295442527236,108,2.86538461538462,1.64911092438503,104
"I8","Alcohol 5","Object","Pixabay",5.33333333333333,1.1286839206524,102,3.55445544554455,1.60296754505356,101
"I9","Alcohol 6","Object","Pixabay",4.53703703703704,1.04502314892686,108,2.64423076923077,1.63052358754159,104
"I10","Alcohol 7","Object","Pixabay",4.47524752475248,1.15407156975588,101,3.12621359223301,1.65493683103477,103
"I11","Alcohol 8","Object","Pixabay",5.47524752475248,1.1008547534161,101,3.79611650485437,1.76212451598148,103
"I12","Ambulance 1","Object","Pixabay",2.33333333333333,1.06779535299975,108,4.16346153846154,1.80673269939137,104
"I13","Ambulance 2","Object","Pixabay",3.17821782178218,1.07141065520145,101,3.41176470588235,1.72548137164401,102
"I14","Ambulance 3","Object","Pixabay",3.28712871287129,1.09851384755374,101,3.61165048543689,1.78354686118803,103
"I15","Angry face 1","Person","Pixabay",3.38235294117647,0.954863710632231,102,3.25742574257426,1.48090151830927,101
"I16","Angry face 2","Person","Wikipedia",3.07843137254902,1.04062314261533,102,3.53465346534653,1.68264289993833,101
"I17","Angry face 3","Person","Wikipedia",2.5,1.06007658979794,102,3.66336633663366,1.79040346136156,101
"I18","Angry face 4","Person","Flickr/Jan Tik",2.49019607843137,1.14100093316764,102,3.87128712871287,1.85829688874859,101
"I19","Angry face 5","Person","Flickr/Bart",2.85294117647059,1.02828376504544,102,3.55445544554455,1.75769876557249,101
"I20","Angry pose 1","Person","Pixabay",2.81481481481481,1.04253598201557,108,3.61538461538462,1.79160768670543,104
"I21","Angry pose 2","Person","Flickr/madstreetz",2.80555555555556,0.999610516051438,108,3.72115384615385,1.7706163194941,104
"I22","Animal carcass 1","Animal","Wikipedia",2.72222222222222,1.2367679716003,108,3.76923076923077,2.0537948263999,104
"I23","Animal carcass 2","Animal","Wikipedia",3.25490196078431,1.39792119007456,102,4.02970297029703,1.68793036316404,101
"I24","Animal carcass 3","Animal","Wikipedia",2.75,1.36117733536735,108,4.42307692307692,2.02744426469696,104
"I25","Animal carcass 4","Animal","Wikipedia",3.79411764705882,1.3667786460178,102,4.1980198019802,1.61876373804331,101
"I26","Animal carcass 5","Animal","Wikipedia",1.61764705882353,1.04402228312643,102,4.47524752475248,2.27417703535121,101
"I27","Animal carcass 6","Animal","Wikipedia",2.39814814814815,1.47210710966729,108,4.72115384615385,2.17423898423508,104
"I28","Archery 1","Person","Pixabay",4.29411764705882,1.27883173243532,102,3.75247524752475,1.54535394388509,101
"I29","Archery 2","Person","Pixabay",4.81372549019608,0.972191483368331,102,3.45544554455446,1.62803410575607,101
"I30","Astronaut 1","Person","Pixabay",5.71296296296296,1.08559752206969,108,4.56730769230769,1.77230267132203,104
"I31","Astronaut 2","Person","Pixabay",5.13725490196078,1.15217586396799,102,3.67326732673267,1.59442096631404,101
"I32","Baby 1","Person","Pixabay",6.17592592592593,0.993706398126079,108,4.08653846153846,1.76871725183901,104
"I33","Baby 2","Person","Pixabay",6.02777777777778,1.05421568785088,108,3.66346153846154,1.83604988046482,104
"I34","Baby 3","Person","Pixabay",5.84158415841584,1.16389581378512,101,4.11650485436893,1.74502638259615,103
"I35","Baby 4","Person","Pixabay",5.92079207920792,1.23841163041076,101,4.27184466019417,1.85870593164676,103
"I36","Baby 5","Person","Pixabay",6.13888888888889,1.06304388681557,108,3.72115384615385,1.82993835520997,104
"I37","Baby 6","Person","Pixabay",6.0462962962963,0.989517575833472,108,3.65384615384615,1.76684256126451,104
"I38","Baby 7","Person","Pixabay",2.97058823529412,1.30843328846192,102,4.24752475247525,1.66976609496096,101
"I39","Baby 8","Person","Pixabay",6.10185185185185,1.11857565317045,108,3.92307692307692,1.85227389874369,104
"I40","Baby 9","Person","Pixabay",5.85294117647059,1.22188831969721,102,3.64356435643564,1.70636548497584,101
"I41","Baby 10","Person","Pixabay",5.42156862745098,1.33821422688067,102,3.89108910891089,1.70235713115086,101
"I42","Band 1","Person","Pixabay",4.87128712871287,1.11052569836662,101,3.00970873786408,1.41764196391899,103
"I43","Band 2","Person","Pixabay",5.15686274509804,1.11466460825459,102,3.84158415841584,1.54746678973945,101
"I44","Bar 1","Scene","Pixabay",4.90196078431373,1.18162334989673,102,3.45544554455446,1.6032763484518,101
"I45","Bar 2","Scene","Pixabay",4.75247524752475,1.02377673927531,101,3.78640776699029,1.74136798510451,103
"I46","Bar 3","Scene","Pixabay",4.49019607843137,1.30304364218925,102,3.25742574257426,1.61030099886037,101
"I47","Barbeque 1","Person","Pixabay",4.7156862745098,1.1550787635944,102,3.07920792079208,1.41903606942764,101
"I48","Barbeque 2","Person","Pixabay",5.14851485148515,1.26796008307723,101,3.12621359223301,1.58225212816047,103
