scenario,layout,formulation,aptamer_count,active_aptamers,single_capture,best_zones,target_capture,false_capture_risk,damage_risk,useful_capture
1,rescue_24,polyT30_standard,24,20,0.27778,8,0.91643,0.52007,0.03114,0.67074
2,rescue_24,polyT30_standard,24,16,0.11111,16,0.80926,0.66689,0.04665,0.53060
3,rescue_24,polyT30_standard,24,19,0.22222,13,0.94601,0.30342,0.02252,0.79617
4,rescue_24,polyT30_standard,24,14,0.16667,12,0.87905,0.58917,0.06156,0.60673
5,rescue_24,polyT30_standard,24,20,0.33333,8,0.94393,0.23609,0.04142,0.82043
6,rescue_24,polyT30_standard,24,19,0.27778,8,0.89212,0.50123,0.03498,0.66036
7,rescue_24,polyT30_standard,24,17,0.22222,11,0.91241,0.47125,0.01248,0.69437
8,rescue_24,polyT30_standard,24,13,0.16667,12,0.85337,0.65380,0.02449,0.56948
9,rescue_24,polyT30_standard,24,17,0.33333,7,0.91553,0.36122,0.01326,0.74670
10,rescue_24,polyT30_standard,24,18,0.22222,12,0.91457,0.32828,0.01897,0.75938
11,rescue_24,polyT30_standard,24,23,0.16667,12,0.86607,0.57500,0.06565,0.60290
12,rescue_24,polyT30_standard,24,16,0.16667,13,0.84987,0.57170,0.07525,0.59095
13,rescue_24,polyT30_standard,24,16,0.16667,12,0.86360,0.67253,0.05772,0.56162
14,rescue_24,polyT30_standard,24,12,0.16667,15,0.89099,0.36186,0.08316,0.70854
15,rescue_24,polyT30_standard,24,18,0.11111,16,0.78107,0.58184,0.05252,0.54366
16,rescue_24,polyT30_standard,24,23,0.27778,8,0.91597,0.41188,0.04199,0.71665
17,rescue_24,polyT30_standard,24,21,0.27778,8,0.90527,0.44818,0.01945,0.69762
18,rescue_24,polyT30_standard,24,20,0.33333,9,0.95797,0.18967,0.05179,0.85141
19,rescue_24,polyT30_standard,24,22,0.22222,9,0.85554,0.54094,0.01941,0.61990
20,rescue_24,polyT30_standard,24,13,0.27778,12,0.97070,0.17867,0.01233,0.88017
21,rescue_24,polyT30_standard,24,16,0.50000,5,0.95807,0.21422,0.01498,0.85096
22,rescue_24,polyT30_standard,24,23,0.22222,10,0.90418,0.50191,0.03257,0.66956
23,rescue_24,polyT30_standard,24,13,0.27778,10,0.95361,0.23742,0.03648,0.82967
24,rescue_24,polyT30_standard,24,15,0.33333,7,0.93586,0.29845,0.02762,0.78850
25,rescue_24,polyT30_standard,24,20,0.27778,7,0.88585,0.49177,0.04642,0.65718
26,rescue_24,polyT30_standard,24,12,0.27778,12,0.97152,0.15644,0.03551,0.88440
27,rescue_24,polyT30_standard,24,20,0.22222,10,0.88002,0.54393,0.02129,0.63591
28,rescue_24,polyT30_standard,24,20,0.16667,12,0.85891,0.62568,0.02717,0.58460
29,rescue_24,polyT30_standard,24,17,0.16667,12,0.84682,0.67709,0.06259,0.54787
30,rescue_24,polyT30_standard,24,22,0.27778,8,0.89987,0.45177,0.05253,0.68380
31,rescue_24,polyT30_standard,24,15,0.16667,16,0.89631,0.31694,0.02396,0.74794
32,rescue_24,polyT30_standard,24,13,0.16667,14,0.86613,0.50223,0.06266,0.63441
33,rescue_24,polyT30_standard,24,17,0.05556,16,0.56560,0.66110,0.03937,0.37342
34,rescue_24,polyT30_standard,24,15,0.27778,11,0.95045,0.22905,0.04273,0.82901
35,rescue_24,polyT30_standard,24,22,0.22222,9,0.87436,0.52646,0.05127,0.63265
36,rescue_24,polyT30_standard,24,19,0.05556,16,0.55542,0.63190,0.05149,0.37309
1,hybrid_24,polyT30_standard,24,23,0.50000,4,0.93307,0.30723,0.01993,0.78423
2,hybrid_24,polyT30_standard,24,16,0.22222,10,0.90098,0.49695,0.03216,0.66949
3,hybrid_24,polyT30_standard,24,22,0.27778,11,0.96108,0.26357,0.01973,0.82867
4,hybrid_24,polyT30_standard,24,13,0.27778,8,0.92124,0.44736,0.04552,0.70378
5,hybrid_24,polyT30_standard,24,20,0.22222,12,0.92133,0.33233,0.05606,0.75317
6,hybrid_24,polyT30_standard,24,21,0.22222,9,0.85113,0.54277,0.03810,0.61188
7,hybrid_24,polyT30_standard,24,19,0.05556,16,0.53690,0.60422,0.01690,0.37248
8,hybrid_24,polyT30_standard,24,15,0.16667,12,0.85337,0.65380,0.02449,0.56948
9,hybrid_24,polyT30_standard,24,14,0.00000,1,0.00000,0.06202,0.00533,0.00000
10,hybrid_24,polyT30_standard,24,21,0.33333,9,0.95526,0.25802,0.01520,0.82759
11,hybrid_24,polyT30_standard,24,21,0.16667,12,0.86607,0.57500,0.06565,0.60290
12,hybrid_24,polyT30_standard,24,12,0.27778,8,0.89556,0.40655,0.05236,0.70044
13,hybrid_24,polyT30_standard,24,17,0.16667,12,0.86360,0.67253,0.05772,0.56162
14,hybrid_24,polyT30_standard,24,14,0.16667,15,0.89099,0.36186,0.08316,0.70854
15,hybrid_24,polyT30_standard,24,18,0.11111,16,0.78107,0.58184,0.05252,0.54366
16,hybrid_24,polyT30_standard,24,23,0.11111,16,0.81965,0.65412,0.07142,0.53779
17,hybrid_24,polyT30_standard,24,20,0.16667,13,0.86807,0.61944,0.02817,0.59330
18,hybrid_24,polyT30_standard,24,21,0.22222,13,0.93220,0.26198,0.06845,0.79068
19,hybrid_24,polyT30_standard,24,20,0.11111,16,0.76317,0.74946,0.03057,0.47208
20,hybrid_24,polyT30_standard,24,16,0.27778,12,0.97070,0.17867,0.01233,0.88017
21,hybrid_24,polyT30_standard,24,14,0.33333,8,0.94165,0.32005,0.02054,0.78528
22,hybrid_24,polyT30_standard,24,22,0.16667,13,0.88571,0.59588,0.03994,0.61313
23,hybrid_24,polyT30_standard,24,16,0.22222,13,0.95183,0.29698,0.04471,0.79781
24,hybrid_24,polyT30_standard,24,13,0.16667,13,0.89313,0.48227,0.04383,0.66737
25,hybrid_24,polyT30_standard,24,19,0.00000,1,0.00000,0.09216,0.01883,0.00000
26,hybrid_24,polyT30_standard,24,12,0.27778,12,0.97152,0.15644,0.03551,0.88440
27,hybrid_24,polyT30_standard,24,24,0.16667,12,0.83331,0.61020,0.02453,0.57409
28,hybrid_24,polyT30_standard,24,17,0.11111,16,0.80394,0.73023,0.03429,0.50428
29,hybrid_24,polyT30_standard,24,15,0.27778,7,0.87500,0.48283,0.04217,0.65396
30,hybrid_24,polyT30_standard,24,19,0.44444,5,0.93343,0.31317,0.03848,0.77666
