layout,formulation,aptamer_count,median_single_capture,median_target_capture,p10_target_capture,median_useful_capture,p10_useful_capture,fraction_useful_ge_90,fraction_target_ge_90,median_best_zones,reliable_90_useful
triple_ring_24,mixed_spacer_antifouling,24,0.2778,0.9671,0.9207,0.8603,0.7791,0.2778,0.9167,12.0,no
broad_grid_24,mixed_spacer_antifouling,24,0.2222,0.9651,0.8763,0.8635,0.7474,0.1944,0.8889,13.0,no
broad_grid_20,rigid_spacer_PEG,20,0.2778,0.9532,0.8655,0.8267,0.7415,0.1389,0.8889,10.5,no
sunflower_20,mixed_spacer_antifouling,20,0.2500,0.9697,0.8125,0.8719,0.7344,0.3056,0.8056,12.5,no
rescue_24,mixed_spacer_antifouling,24,0.2222,0.9641,0.8230,0.8422,0.7339,0.2222,0.8333,14.0,no
hybrid_24,rigid_spacer_PEG,24,0.2778,0.9542,0.9079,0.8237,0.7306,0.1389,0.9167,10.0,no
broad_grid_24,rigid_spacer_PEG,24,0.2778,0.9570,0.9044,0.8280,0.7297,0.1667,0.8889,9.5,no
hybrid_24,mixed_spacer_antifouling,24,0.2222,0.9660,0.8331,0.8561,0.7125,0.2778,0.8333,13.5,no
four_patch_24,mixed_spacer_antifouling,24,0.2222,0.9596,0.8110,0.8357,0.7003,0.2500,0.8056,14.0,no
sunflower_24,mixed_spacer_antifouling,24,0.2778,0.9641,0.8166,0.8514,0.6999,0.3056,0.8333,12.5,no
broad_grid_20,mixed_spacer_antifouling,20,0.2222,0.9630,0.8122,0.8561,0.6893,0.2222,0.7500,14.0,no
triple_ring_24,rigid_spacer_PEG,24,0.2222,0.9429,0.8618,0.7878,0.6803,0.1389,0.8611,11.5,no
broad_grid_20,polyT30_PEG_passivated,20,0.2222,0.9424,0.8013,0.8053,0.6567,0.1111,0.7500,13.0,no
sunflower_20,rigid_spacer_PEG,20,0.2500,0.9484,0.7939,0.8055,0.6418,0.1389,0.7222,12.0,no
triple_ring_24,polyT30_PEG_passivated,24,0.2222,0.9359,0.7865,0.7775,0.6319,0.1111,0.6944,13.0,no
rescue_24,rigid_spacer_PEG,24,0.2778,0.9488,0.8233,0.8054,0.6316,0.1111,0.8333,10.0,no
sunflower_24,rigid_spacer_PEG,24,0.2778,0.9432,0.8066,0.8012,0.6301,0.1111,0.7500,11.5,no
sunflower_20,polyT30_PEG_passivated,20,0.1667,0.9185,0.7833,0.7536,0.6188,0.0556,0.6389,16.0,no
hybrid_24,polyT30_PEG_passivated,24,0.1667,0.9296,0.7954,0.7581,0.6020,0.1111,0.6389,15.5,no
sunflower_24,polyT30_PEG_passivated,24,0.2222,0.9379,0.7833,0.7868,0.5990,0.1111,0.6944,14.5,no
rescue_24,polyT30_standard,24,0.2222,0.8942,0.8280,0.6702,0.5458,0.0000,0.4444,11.5,no
four_patch_24,rigid_spacer_PEG,24,0.2222,0.9364,0.7007,0.7967,0.5454,0.1389,0.8056,12.0,no
broad_grid_20,polyT30_standard,20,0.1667,0.8760,0.7755,0.6413,0.5366,0.0278,0.3611,13.0,no
broad_grid_24,polyT30_standard,24,0.2222,0.8955,0.7787,0.6656,0.5064,0.0278,0.4722,10.0,no
four_patch_24,polyT30_PEG_passivated,24,0.1667,0.9065,0.5755,0.7167,0.4863,0.0556,0.5278,16.0,no
sunflower_24,polyT30_standard,24,0.1667,0.8798,0.7630,0.6335,0.4733,0.0000,0.3333,12.0,no
broad_grid_24,polyT30_PEG_passivated,24,0.1667,0.9296,0.5450,0.7480,0.4561,0.1389,0.7222,13.0,no
rescue_24,polyT30_PEG_passivated,24,0.1667,0.9243,0.5542,0.7514,0.4532,0.1111,0.6111,15.5,no
hybrid_24,polyT30_standard,24,0.1667,0.8804,0.6500,0.6322,0.4223,0.0000,0.3611,12.0,no
four_patch_24,polyT30_standard,24,0.2222,0.8848,0.5447,0.6571,0.3623,0.0278,0.3889,10.0,no
sunflower_20,polyT30_standard,20,0.1667,0.8835,0.5095,0.6468,0.3489,0.0278,0.3611,13.5,no
triple_ring_24,polyT30_standard,24,0.1944,0.8811,0.5144,0.6499,0.3477,0.0000,0.3889,11.0,no
