layout,anchor_id,x_nm,y_nm
triple_ring_24,1,10.000,0.000
triple_ring_24,2,7.071,5.091
triple_ring_24,3,0.000,7.200
triple_ring_24,4,-7.071,5.091
triple_ring_24,5,-10.000,0.000
triple_ring_24,6,-7.071,-5.091
triple_ring_24,7,-0.000,-7.200
triple_ring_24,8,7.071,-5.091
triple_ring_24,9,18.478,5.511
triple_ring_24,10,7.654,13.304
triple_ring_24,11,-7.654,13.304
triple_ring_24,12,-18.478,5.511
triple_ring_24,13,-18.478,-5.511
triple_ring_24,14,-7.654,-13.304
triple_ring_24,15,7.654,-13.304
triple_ring_24,16,18.478,-5.511
triple_ring_24,17,29.424,4.214
triple_ring_24,18,16.667,17.960
triple_ring_24,19,-5.853,21.185
triple_ring_24,20,-24.944,12.000
triple_ring_24,21,-29.424,-4.214
triple_ring_24,22,-16.667,-17.960
triple_ring_24,23,5.853,-21.185
triple_ring_24,24,24.944,-12.000
broad_grid_24,1,-27.000,-15.000
broad_grid_24,2,-16.200,-15.000
broad_grid_24,3,-5.400,-15.000
broad_grid_24,4,5.400,-15.000
broad_grid_24,5,16.200,-15.000
broad_grid_24,6,27.000,-15.000
broad_grid_24,7,-27.000,-5.000
broad_grid_24,8,-16.200,-5.000
broad_grid_24,9,-5.400,-5.000
broad_grid_24,10,5.400,-5.000
broad_grid_24,11,16.200,-5.000
broad_grid_24,12,27.000,-5.000
broad_grid_24,13,-27.000,5.000
broad_grid_24,14,-16.200,5.000
broad_grid_24,15,-5.400,5.000
broad_grid_24,16,5.400,5.000
broad_grid_24,17,16.200,5.000
broad_grid_24,18,27.000,5.000
broad_grid_24,19,-27.000,15.000
broad_grid_24,20,-16.200,15.000
broad_grid_24,21,-5.400,15.000
broad_grid_24,22,5.400,15.000
broad_grid_24,23,16.200,15.000
broad_grid_24,24,27.000,15.000
broad_grid_20,1,-24.000,-14.000
broad_grid_20,2,-12.000,-14.000
broad_grid_20,3,0.000,-14.000
broad_grid_20,4,12.000,-14.000
broad_grid_20,5,24.000,-14.000
broad_grid_20,6,-24.000,-4.667
broad_grid_20,7,-12.000,-4.667
broad_grid_20,8,0.000,-4.667
broad_grid_20,9,12.000,-4.667
broad_grid_20,10,24.000,-4.667
broad_grid_20,11,-24.000,4.667
broad_grid_20,12,-12.000,4.667
broad_grid_20,13,0.000,4.667
broad_grid_20,14,12.000,4.667
broad_grid_20,15,24.000,4.667
broad_grid_20,16,-24.000,14.000
broad_grid_20,17,-12.000,14.000
broad_grid_20,18,0.000,14.000
broad_grid_20,19,12.000,14.000
broad_grid_20,20,24.000,14.000
sunflower_20,1,4.585,0.000
sunflower_20,2,-5.856,3.863
sunflower_20,3,0.896,-7.354
sunflower_20,4,7.381,6.932
sunflower_20,5,-13.546,-1.725
sunflower_20,6,12.832,-5.877
sunflower_20,7,-4.292,11.495
sunflower_20,8,-8.185,-11.347
sunflower_20,9,17.759,4.669
sunflower_20,10,-18.475,5.491
sunflower_20,11,8.906,-13.703
sunflower_20,12,6.581,15.107
sunflower_20,13,-19.836,-8.277
sunflower_20,14,23.270,-3.683
sunflower_20,15,-14.201,14.544
sunflower_20,16,-3.281,-18.229
sunflower_20,17,20.141,12.222
sunflower_20,18,-27.104,0.807
sunflower_20,19,19.770,-14.165
sunflower_20,20,-1.323,20.595
rescue_24,1,13.000,0.000
rescue_24,2,9.192,6.894
rescue_24,3,0.000,9.750
rescue_24,4,-9.192,6.894
rescue_24,5,-13.000,0.000
rescue_24,6,-9.192,-6.894
rescue_24,7,-0.000,-9.750
rescue_24,8,9.192,-6.894
rescue_24,9,22.173,6.888
rescue_24,10,9.184,16.630
rescue_24,11,-9.184,16.630
rescue_24,12,-22.173,6.888
rescue_24,13,-22.173,-6.888
rescue_24,14,-9.184,-16.630
rescue_24,15,9.184,-16.630
rescue_24,16,22.173,-6.888
rescue_24,17,-34.000,-14.000
rescue_24,18,-11.333,-14.000
rescue_24,19,11.333,-14.000
rescue_24,20,34.000,-14.000
rescue_24,21,-34.000,14.000
rescue_24,22,-11.333,14.000
rescue_24,23,11.333,14.000
rescue_24,24,34.000,14.000
hybrid_24,1,-30.000,-15.000
hybrid_24,2,-18.000,-15.000
hybrid_24,3,-6.000,-15.000
hybrid_24,4,6.000,-15.000
hybrid_24,5,18.000,-15.000
hybrid_24,6,30.000,-15.000
hybrid_24,7,-30.000,0.000
hybrid_24,8,-18.000,0.000
hybrid_24,9,-6.000,0.000
hybrid_24,10,6.000,0.000
hybrid_24,11,18.000,0.000
hybrid_24,12,30.000,0.000
hybrid_24,13,-30.000,15.000
hybrid_24,14,-18.000,15.000
hybrid_24,15,-6.000,15.000
hybrid_24,16,6.000,15.000
hybrid_24,17,18.000,15.000
hybrid_24,18,30.000,15.000
hybrid_24,19,-10.000,-5.000
hybrid_24,20,0.000,-5.000
hybrid_24,21,10.000,-5.000
hybrid_24,22,-10.000,5.000
hybrid_24,23,0.000,5.000
hybrid_24,24,10.000,5.000
