layout,formulation,passivation_effectiveness,wash_strength_relative,wash_duration_seconds,wash_cycles,contact_boost,p10_useful_capture,median_useful_capture,p10_target_retained,median_target_retained,p90_background_remaining,median_background_remaining,median_target_wash_survival,median_background_removal,reliable_90_fraction,protocol_cost_index,reliable_90
triple_ring_24,mixed_spacer_antifouling,0.30,1.25,30,1,0.30,0.9005,0.9336,0.9357,0.9645,0.0784,0.0326,0.9864,0.7289,0.8889,0.4400,yes
broad_grid_24,rigid_spacer_PEG,0.60,1.75,20,1,0.30,0.9009,0.9407,0.9387,0.9595,0.0555,0.0222,0.9867,0.7691,0.9167,0.7250,yes
hybrid_24,rigid_spacer_PEG,0.60,1.75,20,1,0.30,0.9006,0.9387,0.9327,0.9599,0.0523,0.0204,0.9867,0.7691,0.8889,0.7250,yes
broad_grid_20,rigid_spacer_PEG,0.90,0.25,5,1,0.30,0.9027,0.9567,0.9243,0.9806,0.0336,0.0237,0.9996,0.0178,0.8889,0.9275,yes
broad_grid_24,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.9046,0.9653,0.9316,0.9868,0.0276,0.0197,0.9996,0.0178,0.8889,0.9275,yes
triple_ring_24,rigid_spacer_PEG,0.90,2.00,5,1,0.30,0.8880,0.9469,0.9159,0.9708,0.0287,0.0167,0.9961,0.3630,0.8889,0.9975,no
hybrid_24,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.8758,0.9649,0.9021,0.9866,0.0301,0.0191,0.9996,0.0178,0.8333,0.9275,no
rescue_24,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.8715,0.9644,0.8941,0.9865,0.0328,0.0166,0.9996,0.0178,0.8333,0.9275,no
sunflower_24,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.8685,0.9672,0.8893,0.9865,0.0288,0.0182,0.9996,0.0178,0.8333,0.9275,no
rescue_24,rigid_spacer_PEG,0.90,1.75,20,1,0.30,0.8684,0.9431,0.8879,0.9576,0.0147,0.0056,0.9867,0.7691,0.8333,0.9950,no
sunflower_20,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.8666,0.9677,0.8860,0.9891,0.0240,0.0172,0.9996,0.0178,0.8056,0.9275,no
four_patch_24,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.8628,0.9633,0.8847,0.9843,0.0322,0.0221,0.9996,0.0178,0.8056,0.9275,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.8602,0.9662,0.8856,0.9857,0.0272,0.0171,0.9996,0.0178,0.7500,0.9275,no
rescue_24,polyT30_standard,0.90,1.50,10,1,0.30,0.8571,0.9164,0.8881,0.9374,0.0421,0.0219,0.9944,0.4387,0.6111,0.9800,no
sunflower_24,rigid_spacer_PEG,0.90,0.25,5,1,0.30,0.8549,0.9489,0.8808,0.9754,0.0432,0.0270,0.9996,0.0178,0.8056,0.9275,no
broad_grid_20,polyT30_PEG_passivated,0.90,0.25,5,1,0.30,0.8503,0.9492,0.8769,0.9750,0.0323,0.0244,0.9996,0.0178,0.7500,0.9275,no
hybrid_24,polyT30_PEG_passivated,0.90,0.25,5,1,0.30,0.8443,0.9397,0.8720,0.9680,0.0412,0.0298,0.9996,0.0178,0.6667,0.9275,no
sunflower_20,rigid_spacer_PEG,0.90,0.25,5,1,0.30,0.8430,0.9528,0.8714,0.9780,0.0395,0.0252,0.9996,0.0178,0.7222,0.9275,no
sunflower_24,polyT30_PEG_passivated,0.90,0.25,5,1,0.30,0.8349,0.9442,0.8626,0.9725,0.0417,0.0293,0.9996,0.0178,0.7222,0.9275,no
sunflower_20,polyT30_PEG_passivated,0.90,2.00,5,1,0.30,0.8345,0.9333,0.8580,0.9589,0.0239,0.0180,0.9961,0.3630,0.6389,0.9975,no
triple_ring_24,polyT30_PEG_passivated,0.90,0.25,5,1,0.30,0.8344,0.9481,0.8651,0.9715,0.0423,0.0296,0.9996,0.0178,0.6944,0.9275,no
broad_grid_20,polyT30_standard,0.90,2.00,5,1,0.30,0.8234,0.8986,0.8498,0.9301,0.0407,0.0230,0.9961,0.3630,0.4722,0.9975,no
broad_grid_24,polyT30_standard,0.90,2.00,5,1,0.30,0.8199,0.9130,0.8513,0.9435,0.0467,0.0273,0.9961,0.3630,0.5833,0.9975,no
sunflower_24,polyT30_standard,0.90,2.00,10,1,0.30,0.8119,0.8960,0.8372,0.9217,0.0354,0.0174,0.9922,0.5941,0.4722,1.0000,no
four_patch_24,rigid_spacer_PEG,0.90,2.00,5,1,0.30,0.7543,0.9440,0.7795,0.9657,0.0287,0.0158,0.9961,0.3630,0.8056,0.9975,no
hybrid_24,polyT30_standard,0.90,2.00,10,1,0.30,0.7128,0.9043,0.7337,0.9291,0.0337,0.0127,0.9922,0.5941,0.5278,1.0000,no
four_patch_24,polyT30_PEG_passivated,0.90,1.75,10,1,0.30,0.6519,0.9205,0.6658,0.9429,0.0223,0.0127,0.9933,0.5196,0.5556,0.9900,no
rescue_24,polyT30_PEG_passivated,0.90,0.25,5,1,0.30,0.6295,0.9386,0.6495,0.9646,0.0395,0.0301,0.9996,0.0178,0.6111,0.9275,no
broad_grid_24,polyT30_PEG_passivated,0.90,0.25,5,1,0.30,0.6223,0.9373,0.6402,0.9677,0.0430,0.0287,0.9996,0.0178,0.7222,0.9275,no
four_patch_24,polyT30_standard,0.90,2.00,10,1,0.30,0.6094,0.9021,0.6312,0.9281,0.0321,0.0162,0.9922,0.5941,0.5278,1.0000,no
sunflower_20,polyT30_standard,0.90,2.00,5,1,0.30,0.5827,0.9079,0.6004,0.9357,0.0428,0.0227,0.9961,0.3630,0.5556,0.9975,no
triple_ring_24,polyT30_standard,0.90,2.00,5,1,0.30,0.5772,0.9037,0.6036,0.9344,0.0440,0.0273,0.9961,0.3630,0.5278,0.9975,no
