layout,formulation,passivation_effectiveness,wash_strength_relative,wash_duration_seconds,wash_cycles,contact_boost,p10_useful_capture,median_useful_capture,p10_target_retained,median_target_retained,p90_background_remaining,median_background_remaining,median_target_wash_survival,median_background_removal,reliable_90_fraction,protocol_cost_index,reliable_90
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,5,1,0.30,0.8602,0.9662,0.8856,0.9857,0.0272,0.0171,0.9996,0.0178,0.7500,0.9275,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,10,1,0.30,0.8599,0.9657,0.8850,0.9852,0.0270,0.0169,0.9993,0.0353,0.7500,0.9300,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.50,5,1,0.30,0.8599,0.9655,0.8848,0.9851,0.0267,0.0167,0.9992,0.0512,0.7500,0.9375,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,5,2,0.30,0.8597,0.9656,0.8850,0.9852,0.0270,0.0169,0.9993,0.0353,0.7500,0.9400,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.75,5,1,0.30,0.8596,0.9651,0.8839,0.9845,0.0249,0.0162,0.9987,0.0939,0.7500,0.9475,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.50,10,1,0.30,0.8593,0.9650,0.8833,0.9840,0.0246,0.0161,0.9984,0.0999,0.7500,0.9400,no
broad_grid_20,mixed_spacer_antifouling,0.90,1.00,5,1,0.30,0.8593,0.9650,0.8830,0.9838,0.0232,0.0155,0.9982,0.1428,0.7500,0.9575,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,5,3,0.30,0.8592,0.9650,0.8843,0.9847,0.0266,0.0167,0.9989,0.0525,0.7500,0.9525,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,20,1,0.30,0.8592,0.9650,0.8836,0.9842,0.0260,0.0165,0.9986,0.0693,0.7500,0.9350,no
broad_grid_20,mixed_spacer_antifouling,0.90,1.25,5,1,0.30,0.8591,0.9646,0.8821,0.9831,0.0215,0.0144,0.9977,0.1956,0.7500,0.9675,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,10,2,0.30,0.8590,0.9648,0.8836,0.9842,0.0260,0.0165,0.9986,0.0693,0.7500,0.9450,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.50,5,2,0.30,0.8590,0.9647,0.8833,0.9840,0.0246,0.0161,0.9984,0.0999,0.7500,0.9500,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,5,4,0.30,0.8587,0.9645,0.8836,0.9842,0.0260,0.0165,0.9986,0.0693,0.7500,0.9650,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.75,10,1,0.30,0.8587,0.9644,0.8816,0.9826,0.0220,0.0149,0.9975,0.1790,0.7500,0.9500,no
broad_grid_20,mixed_spacer_antifouling,0.90,1.50,5,1,0.30,0.8587,0.9643,0.8811,0.9823,0.0203,0.0128,0.9972,0.2508,0.7500,0.9775,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,30,1,0.30,0.8584,0.9644,0.8823,0.9832,0.0245,0.0161,0.9979,0.1022,0.7500,0.9400,no
broad_grid_20,mixed_spacer_antifouling,0.90,1.75,5,1,0.30,0.8583,0.9639,0.8801,0.9811,0.0190,0.0118,0.9967,0.3070,0.7500,0.9875,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.25,10,3,0.30,0.8582,0.9640,0.8823,0.9832,0.0245,0.0161,0.9979,0.1022,0.7500,0.9600,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.75,5,2,0.30,0.8582,0.9639,0.8816,0.9826,0.0220,0.0149,0.9975,0.1790,0.7500,0.9600,no
broad_grid_20,mixed_spacer_antifouling,0.90,0.50,5,3,0.30,0.8580,0.9637,0.8819,0.9829,0.0231,0.0154,0.9976,0.1460,0.7500,0.9625,no
broad_grid_20,polyT30_PEG_passivated,0.90,0.25,5,1,0.30,0.8503,0.9492,0.8769,0.9750,0.0323,0.0244,0.9996,0.0178,0.7500,0.9275,no
broad_grid_20,polyT30_PEG_passivated,0.90,0.25,10,1,0.30,0.8498,0.9490,0.8761,0.9744,0.0315,0.0238,0.9993,0.0353,0.7500,0.9300,no
broad_grid_20,polyT30_PEG_passivated,0.90,0.50,5,1,0.30,0.8498,0.9490,0.8760,0.9743,0.0311,0.0234,0.9992,0.0512,0.7500,0.9375,no
broad_grid_20,polyT30_PEG_passivated,0.90,0.25,5,2,0.30,0.8497,0.9489,0.8761,0.9744,0.0315,0.0238,0.9993,0.0353,0.7500,0.9400,no
broad_grid_20,polyT30_PEG_passivated,0.90,0.75,5,1,0.30,0.8493,0.9488,0.8750,0.9736,0.0303,0.0229,0.9987,0.0939,0.7500,0.9475,no
broad_grid_20,polyT30_PEG_passivated,0.90,0.25,5,3,0.30,0.8491,0.9485,0.8754,0.9739,0.0311,0.0233,0.9989,0.0525,0.7500,0.9525,no
