case,trajectories,ev_diameter_nm,receptor_count,capture_probability_p_ge_1_dwell,mean_contacts,mean_last_quarter_contacts,mean_max_contacts,strong_contact_fraction_p_ge_2,capture_dwell_fraction
clinical_dense_24,120,73,2,0.1083,0.028,0.014,0.158,0.0070,0.0139
clinical_dense_24,120,73,5,0.2583,0.066,0.024,0.392,0.0109,0.0301
clinical_dense_24,120,73,10,0.4333,0.224,0.135,1.050,0.0593,0.0909
clinical_grid_12,120,73,2,0.1167,0.016,0.008,0.150,0.0000,0.0086
clinical_grid_12,120,73,5,0.2250,0.071,0.047,0.400,0.0118,0.0319
clinical_grid_12,120,73,10,0.3583,0.109,0.073,0.683,0.0258,0.0477
clinical_grid_18,120,73,2,0.0667,0.011,0.004,0.083,0.0000,0.0042
clinical_grid_18,120,73,5,0.2083,0.039,0.019,0.333,0.0062,0.0164
clinical_grid_18,120,73,10,0.4250,0.160,0.114,0.858,0.0386,0.0672
clinical_hybrid_24,120,73,2,0.1333,0.038,0.024,0.158,0.0049,0.0186
clinical_hybrid_24,120,73,5,0.3583,0.126,0.082,0.542,0.0229,0.0524
clinical_hybrid_24,120,73,10,0.3833,0.207,0.177,0.850,0.0564,0.0847
clinical_rescue_24,120,73,2,0.1167,0.020,0.016,0.183,0.0000,0.0090
clinical_rescue_24,120,73,5,0.3083,0.083,0.042,0.542,0.0124,0.0342
clinical_rescue_24,120,73,10,0.5000,0.301,0.243,1.267,0.0865,0.1204
dense_24,120,73,2,0.1083,0.026,0.024,0.200,0.0028,0.0107
dense_24,120,73,5,0.3250,0.084,0.056,0.525,0.0097,0.0361
dense_24,120,73,10,0.4500,0.278,0.198,0.975,0.0726,0.1174
grid_18,120,73,2,0.2250,0.044,0.032,0.300,0.0000,0.0199
grid_18,120,73,5,0.2917,0.092,0.055,0.508,0.0153,0.0394
grid_18,120,73,10,0.4583,0.200,0.182,1.033,0.0485,0.0791
random_24,120,73,2,0.0917,0.017,0.014,0.125,0.0004,0.0079
random_24,120,73,5,0.3333,0.088,0.073,0.533,0.0150,0.0408
random_24,120,73,10,0.4167,0.183,0.147,0.967,0.0437,0.0715
ring_12,120,73,2,0.1667,0.018,0.009,0.242,0.0000,0.0068
ring_12,120,73,5,0.3000,0.064,0.061,0.425,0.0063,0.0297
ring_12,120,73,10,0.4333,0.125,0.067,0.792,0.0234,0.0572
scrambled_dense_24,120,73,2,0.0000,0.000,0.000,0.000,0.0000,0.0000
scrambled_dense_24,120,73,5,0.0000,0.000,0.000,0.000,0.0000,0.0000
scrambled_dense_24,120,73,10,0.0000,0.000,0.000,0.000,0.0000,0.0000
sparse_6,120,73,2,0.0417,0.007,0.006,0.075,0.0000,0.0032
sparse_6,120,73,5,0.1417,0.024,0.020,0.225,0.0018,0.0111
sparse_6,120,73,10,0.3000,0.048,0.034,0.525,0.0044,0.0207
