layout,aptamer_count,linker_construct,ev_diameter_nm,receptor_count,mean_contacts,max_contacts,p_at_least_1_contact,p_at_least_2_contacts,p_at_least_3_contacts,p_at_least_6_contacts,legacy_capture_score,clinical_sparse_score,replicates,matched_design,matched_design_score,score_delta_vs_matched_design,clinical_sparse_score_sd
random_matched_24,24,polyT10,73,2,0.013,2,0.0127,0.0001,0.0000,0.0000,0.0003,0.0055,12,clinical_dense_24,0.0047,-0.0008,0.0023
random_matched_24,24,polyT10,73,5,0.030,2,0.0293,0.0004,0.0000,0.0000,0.0007,0.0128,12,clinical_dense_24,0.0298,0.0170,0.0040
random_matched_24,24,polyT10,73,10,0.062,3,0.0612,0.0012,0.0000,0.0000,0.0016,0.0269,12,clinical_dense_24,0.0430,0.0161,0.0039
random_matched_24,24,polyT15,73,2,0.024,2,0.0239,0.0004,0.0000,0.0000,0.0006,0.0105,12,clinical_dense_24,0.0185,0.0080,0.0033
random_matched_24,24,polyT15,73,5,0.068,3,0.0665,0.0016,0.0000,0.0000,0.0017,0.0294,12,clinical_dense_24,0.0517,0.0223,0.0052
random_matched_24,24,polyT15,73,10,0.132,4,0.1240,0.0074,0.0004,0.0000,0.0035,0.0563,12,clinical_dense_24,0.0778,0.0215,0.0101
random_matched_24,24,polyT20,73,2,0.050,2,0.0497,0.0003,0.0000,0.0000,0.0013,0.0216,12,clinical_dense_24,0.0384,0.0168,0.0057
random_matched_24,24,polyT20,73,5,0.140,3,0.1328,0.0075,0.0001,0.0000,0.0035,0.0601,12,clinical_dense_24,0.0689,0.0088,0.0105
random_matched_24,24,polyT20,73,10,0.249,5,0.2248,0.0239,0.0008,0.0000,0.0066,0.1055,12,clinical_dense_24,0.1396,0.0341,0.0131
random_matched_24,24,polyT30,73,2,0.113,2,0.1096,0.0030,0.0000,0.0000,0.0028,0.0485,12,clinical_dense_24,0.0522,0.0037,0.0086
random_matched_24,24,polyT30,73,5,0.275,4,0.2472,0.0267,0.0015,0.0000,0.0076,0.1164,12,clinical_dense_24,0.1516,0.0352,0.0154
random_matched_24,24,polyT30,73,10,0.540,5,0.4281,0.0970,0.0137,0.0000,0.0196,0.2211,12,clinical_dense_24,0.2511,0.0300,0.0255
random_matched_12,12,polyT10,73,2,0.007,1,0.0070,0.0000,0.0000,0.0000,0.0002,0.0030,12,clinical_grid_12,0.0039,0.0009,0.0017
random_matched_12,12,polyT10,73,5,0.016,2,0.0163,0.0001,0.0000,0.0000,0.0004,0.0071,12,clinical_grid_12,0.0094,0.0023,0.0031
random_matched_12,12,polyT10,73,10,0.028,3,0.0272,0.0004,0.0000,0.0000,0.0007,0.0119,12,clinical_grid_12,0.0253,0.0134,0.0034
random_matched_12,12,polyT15,73,2,0.015,2,0.0148,0.0000,0.0000,0.0000,0.0004,0.0064,12,clinical_grid_12,0.0050,-0.0014,0.0023
random_matched_12,12,polyT15,73,5,0.037,2,0.0370,0.0003,0.0000,0.0000,0.0009,0.0161,12,clinical_grid_12,0.0178,0.0017,0.0030
random_matched_12,12,polyT15,73,10,0.069,3,0.0671,0.0018,0.0000,0.0000,0.0017,0.0297,12,clinical_grid_12,0.0540,0.0243,0.0059
random_matched_12,12,polyT20,73,2,0.026,2,0.0254,0.0003,0.0000,0.0000,0.0006,0.0111,12,clinical_grid_12,0.0296,0.0185,0.0033
random_matched_12,12,polyT20,73,5,0.074,2,0.0731,0.0010,0.0000,0.0000,0.0019,0.0320,12,clinical_grid_12,0.0387,0.0067,0.0081
random_matched_12,12,polyT20,73,10,0.138,3,0.1288,0.0086,0.0003,0.0000,0.0036,0.0587,12,clinical_grid_12,0.1031,0.0444,0.0128
random_matched_12,12,polyT30,73,2,0.059,2,0.0585,0.0006,0.0000,0.0000,0.0015,0.0255,12,clinical_grid_12,0.0510,0.0255,0.0058
random_matched_12,12,polyT30,73,5,0.162,4,0.1496,0.0116,0.0005,0.0000,0.0043,0.0688,12,clinical_grid_12,0.1052,0.0364,0.0083
random_matched_12,12,polyT30,73,10,0.309,4,0.2721,0.0353,0.0018,0.0000,0.0085,0.1301,12,clinical_grid_12,0.1572,0.0271,0.0166
random_matched_18,18,polyT10,73,2,0.010,1,0.0100,0.0000,0.0000,0.0000,0.0002,0.0043,12,clinical_grid_18,0.0176,0.0133,0.0019
random_matched_18,18,polyT10,73,5,0.023,2,0.0225,0.0003,0.0000,0.0000,0.0006,0.0098,12,clinical_grid_18,0.0141,0.0043,0.0029
random_matched_18,18,polyT10,73,10,0.046,4,0.0453,0.0006,0.0001,0.0000,0.0012,0.0199,12,clinical_grid_18,0.0239,0.0040,0.0045
random_matched_18,18,polyT15,73,2,0.020,2,0.0195,0.0001,0.0000,0.0000,0.0005,0.0084,12,clinical_grid_18,0.0209,0.0125,0.0037
random_matched_18,18,polyT15,73,5,0.051,3,0.0499,0.0007,0.0001,0.0000,0.0013,0.0219,12,clinical_grid_18,0.0294,0.0075,0.0039
random_matched_18,18,polyT15,73,10,0.095,3,0.0909,0.0037,0.0000,0.0000,0.0024,0.0406,12,clinical_grid_18,0.0533,0.0127,0.0077
random_matched_18,18,polyT20,73,2,0.033,2,0.0333,0.0001,0.0000,0.0000,0.0008,0.0145,12,clinical_grid_18,0.0323,0.0178,0.0041
random_matched_18,18,polyT20,73,5,0.094,3,0.0901,0.0039,0.0000,0.0000,0.0024,0.0404,12,clinical_grid_18,0.0740,0.0336,0.0088
random_matched_18,18,polyT20,73,10,0.184,5,0.1709,0.0126,0.0004,0.0000,0.0048,0.0783,12,clinical_grid_18,0.1184,0.0401,0.0118
random_matched_18,18,polyT30,73,2,0.089,2,0.0874,0.0014,0.0000,0.0000,0.0022,0.0383,12,clinical_grid_18,0.0390,0.0007,0.0096
random_matched_18,18,polyT30,73,5,0.215,4,0.1996,0.0148,0.0004,0.0000,0.0055,0.0915,12,clinical_grid_18,0.1265,0.0350,0.0162
random_matched_18,18,polyT30,73,10,0.423,5,0.3544,0.0597,0.0079,0.0000,0.0141,0.1753,12,clinical_grid_18,0.2216,0.0463,0.0248
random_matched_24,24,polyT10,73,2,0.011,1,0.0115,0.0000,0.0000,0.0000,0.0003,0.0050,12,clinical_hybrid_24,0.0053,0.0003,0.0023
random_matched_24,24,polyT10,73,5,0.031,2,0.0301,0.0009,0.0000,0.0000,0.0008,0.0133,12,clinical_hybrid_24,0.0146,0.0013,0.0039
random_matched_24,24,polyT10,73,10,0.061,2,0.0596,0.0014,0.0000,0.0000,0.0015,0.0263,12,clinical_hybrid_24,0.0324,0.0061,0.0067
random_matched_24,24,polyT15,73,2,0.025,2,0.0244,0.0002,0.0000,0.0000,0.0006,0.0106,12,clinical_hybrid_24,0.0156,0.0050,0.0024
random_matched_24,24,polyT15,73,5,0.067,3,0.0646,0.0027,0.0000,0.0000,0.0017,0.0289,12,clinical_hybrid_24,0.0425,0.0136,0.0062
random_matched_24,24,polyT15,73,10,0.122,4,0.1154,0.0064,0.0001,0.0000,0.0031,0.0522,12,clinical_hybrid_24,0.0882,0.0360,0.0090
random_matched_24,24,polyT20,73,2,0.048,2,0.0477,0.0007,0.0000,0.0000,0.0012,0.0209,12,clinical_hybrid_24,0.0329,0.0120,0.0045
random_matched_24,24,polyT20,73,5,0.125,3,0.1196,0.0046,0.0004,0.0000,0.0033,0.0535,12,clinical_hybrid_24,0.0905,0.0370,0.0067
random_matched_24,24,polyT20,73,10,0.256,4,0.2263,0.0276,0.0020,0.0000,0.0073,0.1077,12,clinical_hybrid_24,0.1788,0.0711,0.0120
random_matched_24,24,polyT30,73,2,0.107,2,0.1052,0.0020,0.0000,0.0000,0.0027,0.0463,12,clinical_hybrid_24,0.0700,0.0237,0.0088
random_matched_24,24,polyT30,73,5,0.289,4,0.2545,0.0335,0.0012,0.0000,0.0078,0.1217,12,clinical_hybrid_24,0.1678,0.0461,0.0085
random_matched_24,24,polyT30,73,10,0.565,6,0.4408,0.1048,0.0176,0.0000,0.0221,0.2301,12,clinical_hybrid_24,0.3220,0.0919,0.0213
random_matched_24,24,polyT10,73,2,0.013,1,0.0129,0.0000,0.0000,0.0000,0.0003,0.0056,12,clinical_rescue_24,0.0086,0.0030,0.0019
random_matched_24,24,polyT10,73,5,0.033,2,0.0323,0.0003,0.0000,0.0000,0.0008,0.0141,12,clinical_rescue_24,0.0181,0.0040,0.0045
random_matched_24,24,polyT10,73,10,0.064,3,0.0626,0.0018,0.0001,0.0000,0.0017,0.0277,12,clinical_rescue_24,0.0346,0.0069,0.0055
random_matched_24,24,polyT15,73,2,0.024,1,0.0244,0.0000,0.0000,0.0000,0.0006,0.0106,12,clinical_rescue_24,0.0232,0.0126,0.0030
random_matched_24,24,polyT15,73,5,0.062,3,0.0606,0.0012,0.0001,0.0000,0.0016,0.0267,12,clinical_rescue_24,0.0249,-0.0018,0.0072
random_matched_24,24,polyT15,73,10,0.117,4,0.1105,0.0061,0.0002,0.0000,0.0030,0.0500,12,clinical_rescue_24,0.0822,0.0322,0.0096
random_matched_24,24,polyT20,73,2,0.054,2,0.0531,0.0008,0.0000,0.0000,0.0013,0.0233,12,clinical_rescue_24,0.0411,0.0178,0.0032
