layout,aptamer_count,linker_construct,ev_diameter_nm,receptor_count,mean_contacts,max_contacts,p_at_least_1_contact,p_at_least_2_contacts,p_at_least_3_contacts,p_at_least_6_contacts,legacy_capture_score,clinical_sparse_score
clinical_dense_24,24,polyT10,73,2,0.011,1,0.0108,0.0000,0.0000,0.0000,0.0003,0.0047
clinical_dense_24,24,polyT10,73,5,0.069,1,0.0689,0.0000,0.0000,0.0000,0.0017,0.0298
clinical_dense_24,24,polyT10,73,10,0.100,2,0.0963,0.0038,0.0000,0.0000,0.0025,0.0430
clinical_dense_24,24,polyT15,73,2,0.043,2,0.0408,0.0026,0.0000,0.0000,0.0011,0.0185
clinical_dense_24,24,polyT15,73,5,0.122,2,0.1110,0.0108,0.0000,0.0000,0.0030,0.0517
clinical_dense_24,24,polyT15,73,10,0.184,3,0.1645,0.0185,0.0013,0.0000,0.0052,0.0778
clinical_dense_24,24,polyT20,73,2,0.089,2,0.0886,0.0000,0.0000,0.0000,0.0022,0.0384
clinical_dense_24,24,polyT20,73,5,0.159,2,0.1575,0.0019,0.0000,0.0000,0.0040,0.0689
clinical_dense_24,24,polyT20,73,10,0.342,3,0.2653,0.0676,0.0089,0.0000,0.0126,0.1396
clinical_dense_24,24,polyT30,73,2,0.121,2,0.1199,0.0006,0.0000,0.0000,0.0030,0.0522
clinical_dense_24,24,polyT30,73,5,0.362,3,0.3144,0.0421,0.0057,0.0000,0.0116,0.1516
clinical_dense_24,24,polyT30,73,10,0.622,4,0.4726,0.1199,0.0268,0.0000,0.0276,0.2511
clinical_grid_12,12,polyT10,73,2,0.009,1,0.0089,0.0000,0.0000,0.0000,0.0002,0.0039
clinical_grid_12,12,polyT10,73,5,0.022,1,0.0217,0.0000,0.0000,0.0000,0.0005,0.0094
clinical_grid_12,12,polyT10,73,10,0.059,2,0.0555,0.0038,0.0000,0.0000,0.0015,0.0253
clinical_grid_12,12,polyT15,73,2,0.011,1,0.0115,0.0000,0.0000,0.0000,0.0003,0.0050
clinical_grid_12,12,polyT15,73,5,0.041,2,0.0395,0.0019,0.0000,0.0000,0.0010,0.0178
clinical_grid_12,12,polyT15,73,10,0.126,2,0.1212,0.0045,0.0000,0.0000,0.0031,0.0540
clinical_grid_12,12,polyT20,73,2,0.068,1,0.0682,0.0000,0.0000,0.0000,0.0017,0.0296
clinical_grid_12,12,polyT20,73,5,0.089,2,0.0893,0.0000,0.0000,0.0000,0.0022,0.0387
clinical_grid_12,12,polyT20,73,10,0.247,3,0.2066,0.0408,0.0000,0.0000,0.0062,0.1031
