control,aptamer_count,linker_construct,replicates,ev_diameter_nm,cd133_density,receptor_count,mean_contacts,max_contacts,p_at_least_3_contacts,p_at_least_6_contacts,capture_score,capture_score_sd,matched_design,matched_design_score,score_delta_vs_matched_design
random_matched_24_polyT15,24,polyT15,50,50,low,6,0.112,5,0.0001,0.0000,0.0028,0.0004,dense_24,0.0050,0.0022
random_matched_24_polyT15,24,polyT15,50,50,medium,16,0.289,6,0.0024,0.0000,0.0083,0.0016,dense_24,0.0168,0.0085
random_matched_24_polyT15,24,polyT15,50,50,high,31,0.527,8,0.0146,0.0000,0.0197,0.0049,dense_24,0.0478,0.0281
random_matched_24_polyT15,24,polyT15,50,100,low,24,0.214,6,0.0011,0.0000,0.0058,0.0009,dense_24,0.0113,0.0055
random_matched_24_polyT15,24,polyT15,50,100,medium,63,0.542,9,0.0156,0.0000,0.0206,0.0043,dense_24,0.0504,0.0298
random_matched_24_polyT15,24,polyT15,50,100,high,126,1.026,12,0.0801,0.0004,0.0618,0.0145,dense_24,0.1645,0.1027
random_matched_24_polyT15,24,polyT15,50,150,low,53,0.303,7,0.0032,0.0000,0.0090,0.0015,dense_24,0.0185,0.0095
random_matched_24_polyT15,24,polyT15,50,150,medium,141,0.777,11,0.0414,0.0001,0.0381,0.0076,dense_24,0.0923,0.0542
random_matched_24_polyT15,24,polyT15,50,150,high,283,1.476,13,0.1812,0.0028,0.1194,0.0240,dense_24,0.2674,0.1480
random_matched_24_polyT20,24,polyT20,50,50,low,6,0.223,4,0.0009,0.0000,0.0060,0.0010,dense_24,0.0115,0.0055
random_matched_24_polyT20,24,polyT20,50,50,medium,16,0.567,7,0.0172,0.0000,0.0219,0.0049,dense_24,0.0553,0.0334
random_matched_24_polyT20,24,polyT20,50,50,high,31,1.023,11,0.0804,0.0003,0.0619,0.0167,dense_24,0.1579,0.0960
random_matched_24_polyT20,24,polyT20,50,100,low,24,0.428,7,0.0081,0.0000,0.0144,0.0028,dense_24,0.0326,0.0182
random_matched_24_polyT20,24,polyT20,50,100,medium,63,1.060,13,0.0885,0.0005,0.0665,0.0154,dense_24,0.1692,0.1027
random_matched_24_polyT20,24,polyT20,50,100,high,126,1.954,15,0.3114,0.0117,0.1931,0.0407,dense_24,0.3921,0.1990
random_matched_24_polyT20,24,polyT20,50,150,low,53,0.598,8,0.0215,0.0000,0.0246,0.0045,dense_24,0.0567,0.0321
random_matched_24_polyT20,24,polyT20,50,150,medium,141,1.510,13,0.1916,0.0037,0.1253,0.0259,dense_24,0.2651,0.1398
random_matched_24_polyT20,24,polyT20,50,150,high,283,2.788,16,0.5338,0.0582,0.3303,0.0547,dense_24,0.5604,0.2301
random_matched_24_polyT30,24,polyT30,50,50,low,6,0.493,6,0.0091,0.0000,0.0164,0.0035,dense_24,0.0315,0.0151
random_matched_24_polyT30,24,polyT30,50,50,medium,16,1.229,11,0.1185,0.0007,0.0843,0.0217,dense_24,0.1822,0.0979
random_matched_24_polyT30,24,polyT30,50,50,high,31,2.135,13,0.3633,0.0155,0.2223,0.0519,dense_24,0.4311,0.2088
random_matched_24_polyT30,24,polyT30,50,100,low,24,0.925,10,0.0628,0.0002,0.0514,0.0115,dense_24,0.1063,0.0549
random_matched_24_polyT30,24,polyT30,50,100,medium,63,2.256,14,0.3942,0.0236,0.2421,0.0493,dense_24,0.4087,0.1666
random_matched_24_polyT30,24,polyT30,50,100,high,126,3.972,18,0.7681,0.2070,0.5174,0.0809,dense_24,0.7574,0.2400
random_matched_24_polyT30,24,polyT30,50,150,low,53,1.285,11,0.1378,0.0015,0.0947,0.0188,dense_24,0.1675,0.0728
random_matched_24_polyT30,24,polyT30,50,150,medium,141,3.145,17,0.6155,0.0941,0.3885,0.0604,dense_24,0.5753,0.1868
random_matched_24_polyT30,24,polyT30,50,150,high,283,5.539,21,0.9192,0.4866,0.7224,0.0773,dense_24,0.9152,0.1928
