layout,aptamer_count,linker_construct,ev_diameter_nm,cd133_density,receptor_count,mean_contacts,max_contacts,p_at_least_3_contacts,p_at_least_6_contacts,capture_score
dense_24,24,polyT15,50,low,6,0.195,4,0.0003,0.0000,0.0050
dense_24,24,polyT15,50,medium,16,0.508,6,0.0091,0.0000,0.0168
dense_24,24,polyT15,50,high,31,0.956,7,0.0531,0.0000,0.0478
dense_24,24,polyT15,100,low,24,0.356,6,0.0054,0.0000,0.0113
dense_24,24,polyT15,100,medium,63,0.940,9,0.0596,0.0001,0.0504
dense_24,24,polyT15,100,high,126,1.767,13,0.2636,0.0049,0.1645
dense_24,24,polyT15,150,low,53,0.514,7,0.0125,0.0000,0.0185
dense_24,24,polyT15,150,medium,141,1.274,11,0.1331,0.0015,0.0923
dense_24,24,polyT15,150,high,283,2.412,16,0.4376,0.0292,0.2674
dense_24,24,polyT20,50,low,6,0.388,5,0.0040,0.0000,0.0115
dense_24,24,polyT20,50,medium,16,1.005,7,0.0671,0.0000,0.0553
dense_24,24,polyT20,50,high,31,1.770,10,0.2510,0.0020,0.1579
dense_24,24,polyT20,100,low,24,0.699,7,0.0337,0.0000,0.0326
dense_24,24,polyT20,100,medium,63,1.785,11,0.2726,0.0055,0.1692
dense_24,24,polyT20,100,high,126,3.153,15,0.6303,0.0848,0.3921
dense_24,24,polyT20,150,low,53,0.955,10,0.0728,0.0003,0.0567
dense_24,24,polyT20,150,medium,141,2.397,17,0.4305,0.0327,0.2651
dense_24,24,polyT20,150,high,283,4.293,21,0.8048,0.2597,0.5604
dense_24,24,polyT30,50,low,6,0.759,5,0.0278,0.0000,0.0315
dense_24,24,polyT30,50,medium,16,1.913,10,0.2936,0.0065,0.1822
dense_24,24,polyT30,50,high,31,3.377,14,0.6967,0.0947,0.4311
dense_24,24,polyT30,100,low,24,1.387,9,0.1574,0.0022,0.1063
dense_24,24,polyT30,100,medium,63,3.267,15,0.6390,0.1128,0.4087
dense_24,24,polyT30,100,high,126,5.903,23,0.9352,0.5400,0.7574
dense_24,24,polyT30,150,low,53,1.772,10,0.2668,0.0090,0.1675
dense_24,24,polyT30,150,medium,141,4.433,20,0.8082,0.2880,0.5753
dense_24,24,polyT30,150,high,283,7.850,24,0.9870,0.7853,0.9152
grid_18,18,polyT15,50,low,6,0.118,3,0.0000,0.0000,0.0030
grid_18,18,polyT15,50,medium,16,0.275,4,0.0004,0.0000,0.0071
grid_18,18,polyT15,50,high,31,0.512,4,0.0035,0.0000,0.0144
grid_18,18,polyT15,100,low,24,0.193,4,0.0004,0.0000,0.0050
grid_18,18,polyT15,100,medium,63,0.496,6,0.0092,0.0000,0.0166
grid_18,18,polyT15,100,high,126,0.981,7,0.0501,0.0000,0.0471
grid_18,18,polyT15,150,low,53,0.276,5,0.0011,0.0000,0.0074
