control,aptamer_count,replicates,ev_diameter_nm,cd133_density,receptor_count,mean_contacts,max_contacts,p_at_least_3_contacts,p_at_least_6_contacts,capture_score,capture_score_sd,best_matched_design,best_matched_design_score,score_delta_vs_best_matched_design
random_matched_6,6,4,50,low,6,0.063,3,0.0000,0.0000,0.0016,0.0006,sparse_6,0.0023,0.0007
random_matched_6,6,4,50,medium,16,0.161,3,0.0001,0.0000,0.0041,0.0017,sparse_6,0.0057,0.0016
random_matched_6,6,4,50,high,31,0.292,4,0.0011,0.0000,0.0078,0.0034,sparse_6,0.0100,0.0022
random_matched_6,6,4,100,low,24,0.124,3,0.0001,0.0000,0.0031,0.0010,sparse_6,0.0036,0.0005
random_matched_6,6,4,100,medium,63,0.291,4,0.0016,0.0000,0.0080,0.0033,sparse_6,0.0100,0.0020
random_matched_6,6,4,100,high,126,0.522,5,0.0096,0.0000,0.0174,0.0087,sparse_6,0.0184,0.0010
random_matched_6,6,4,150,low,53,0.170,3,0.0003,0.0000,0.0044,0.0013,sparse_6,0.0056,0.0012
random_matched_6,6,4,150,medium,141,0.421,5,0.0057,0.0000,0.0131,0.0054,sparse_6,0.0147,0.0016
random_matched_6,6,4,150,high,283,0.754,6,0.0286,0.0000,0.0317,0.0144,sparse_6,0.0352,0.0035
random_matched_12,12,4,50,low,6,0.144,3,0.0001,0.0000,0.0036,0.0002,ring_12,0.0040,0.0004
random_matched_12,12,4,50,medium,16,0.362,5,0.0034,0.0000,0.0106,0.0010,ring_12,0.0118,0.0012
random_matched_12,12,4,50,high,31,0.640,5,0.0193,0.0000,0.0247,0.0049,ring_12,0.0238,-0.0009
random_matched_12,12,4,100,low,24,0.266,4,0.0020,0.0000,0.0075,0.0011,ring_12,0.0082,0.0007
random_matched_12,12,4,100,medium,63,0.652,6,0.0219,0.0000,0.0261,0.0042,ring_12,0.0288,0.0027
random_matched_12,12,4,100,high,126,1.196,8,0.1069,0.0002,0.0781,0.0134,ring_12,0.0779,-0.0002
random_matched_12,12,4,150,low,53,0.365,6,0.0053,0.0000,0.0115,0.0013,ring_12,0.0125,0.0010
random_matched_12,12,4,150,medium,141,0.939,8,0.0582,0.0000,0.0497,0.0069,ring_12,0.0502,0.0005
random_matched_12,12,4,150,high,283,1.676,9,0.2319,0.0018,0.1469,0.0195,ring_12,0.1595,0.0126
random_matched_18,18,4,50,low,6,0.157,4,0.0003,0.0000,0.0041,0.0004,grid_18,0.0058,0.0017
random_matched_18,18,4,50,medium,16,0.411,5,0.0070,0.0000,0.0134,0.0018,grid_18,0.0167,0.0033
random_matched_18,18,4,50,high,31,0.738,8,0.0369,0.0001,0.0351,0.0042,grid_18,0.0401,0.0050
random_matched_18,18,4,100,low,24,0.318,5,0.0041,0.0000,0.0098,0.0009,grid_18,0.0124,0.0026
random_matched_18,18,4,100,medium,63,0.778,8,0.0430,0.0001,0.0388,0.0053,grid_18,0.0565,0.0177
random_matched_18,18,4,100,high,126,1.390,10,0.1670,0.0023,0.1107,0.0121,grid_18,0.1651,0.0544
random_matched_18,18,4,150,low,53,0.452,7,0.0093,0.0000,0.0155,0.0019,grid_18,0.0211,0.0056
random_matched_18,18,4,150,medium,141,1.101,9,0.0987,0.0006,0.0722,0.0064,grid_18,0.1090,0.0368
random_matched_18,18,4,150,high,283,2.026,12,0.3408,0.0134,0.2087,0.0175,grid_18,0.2975,0.0888
random_matched_24,24,4,50,low,6,0.220,4,0.0007,0.0000,0.0058,0.0011,dense_24,0.0118,0.0060
random_matched_24,24,4,50,medium,16,0.562,6,0.0183,0.0000,0.0223,0.0058,dense_24,0.0512,0.0289
random_matched_24,24,4,50,high,31,1.015,8,0.0854,0.0006,0.0640,0.0160,dense_24,0.1512,0.0872
random_matched_24,24,4,100,low,24,0.431,6,0.0094,0.0000,0.0150,0.0036,dense_24,0.0316,0.0166
random_matched_24,24,4,100,medium,63,1.057,9,0.0895,0.0005,0.0668,0.0154,dense_24,0.1589,0.0921
random_matched_24,24,4,100,high,126,1.950,12,0.3213,0.0124,0.1977,0.0455,dense_24,0.3976,0.1999
random_matched_24,24,4,150,low,53,0.593,8,0.0217,0.0000,0.0246,0.0049,dense_24,0.0539,0.0293
random_matched_24,24,4,150,medium,141,1.518,11,0.1976,0.0040,0.1283,0.0321,dense_24,0.2606,0.1323
random_matched_24,24,4,150,high,283,2.754,16,0.5255,0.0612,0.3267,0.0647,dense_24,0.5676,0.2409
