layout,anchor_id,x_nm,y_nm,linker_construct
random_net_80_01,A01,-11.075,8.252,polyT30
random_net_80_01,A02,4.039,11.329,polyT30
random_net_80_01,A03,-3.491,-13.456,polyT30
random_net_80_01,A04,13.986,-14.189,polyT30
random_net_80_01,A05,15.488,-1.194,polyT30
random_net_80_01,A06,-11.460,6.356,polyT30
random_net_80_01,A07,-0.509,-2.053,polyT30
random_net_80_01,A08,7.501,-6.977,polyT30
random_net_80_01,A09,-10.411,10.837,polyT30
random_net_80_01,A10,14.532,-13.105,polyT30
random_net_80_01,A11,-6.918,-2.735,polyT30
random_net_80_01,A12,-13.939,18.434,polyT30
random_net_80_01,A13,-2.926,-7.876,polyT30
random_net_80_01,A14,4.144,9.335,polyT30
random_net_80_01,A15,-3.902,-12.952,polyT30
random_net_80_01,A16,-15.048,-6.760,polyT30
random_net_80_01,A17,-0.645,1.527,polyT30
random_net_80_01,A18,13.203,-5.253,polyT30
random_net_80_01,A19,4.573,2.644,polyT30
random_net_80_01,A20,-5.862,-8.222,polyT30
random_net_80_01,A21,34.637,-1.430,polyT30
random_net_80_01,A22,-20.274,-4.315,polyT30
random_net_80_01,A23,-2.336,-8.687,polyT30
random_net_80_01,A24,-11.578,9.936,polyT30
random_net_80_01,A25,-3.930,5.777,polyT30
random_net_80_01,A26,-11.720,0.406,polyT30
random_net_80_01,A27,-43.805,13.034,polyT30
random_net_80_01,A28,25.690,-20.030,polyT30
random_net_80_01,A29,-20.753,20.377,polyT30
random_net_80_01,A30,17.830,21.588,polyT30
random_net_80_01,A31,11.777,1.722,polyT30
random_net_80_01,A32,3.608,-0.797,polyT30
random_net_80_01,A33,37.111,-9.904,polyT30
random_net_80_01,A34,10.365,-29.453,polyT30
random_net_80_01,A35,-20.686,-22.019,polyT30
random_net_80_01,A36,21.670,16.199,polyT30
random_net_80_01,A37,42.109,-25.915,polyT30
random_net_80_01,A38,36.463,21.968,polyT30
random_net_80_01,A39,2.027,-28.612,polyT30
random_net_80_01,A40,-4.214,-12.764,polyT30
random_net_80_01,A41,6.265,2.720,polyT30
random_net_80_01,A42,-40.928,25.985,polyT30
random_net_80_01,A43,29.119,10.224,polyT30
random_net_80_01,A44,-19.822,-15.671,polyT30
random_net_80_01,A45,-40.233,12.179,polyT30
random_net_80_01,A46,8.645,16.033,polyT30
random_net_80_01,A47,-38.493,25.409,polyT30
random_net_80_01,A48,6.605,4.311,polyT30
random_net_80_01,A49,-14.989,-23.913,polyT30
random_net_80_01,A50,-21.405,11.613,polyT30
random_net_80_01,A51,-27.471,5.591,polyT30
random_net_80_01,A52,3.368,6.279,polyT30
random_net_80_01,A53,-18.712,8.531,polyT30
random_net_80_01,A54,-13.440,-19.960,polyT30
random_net_80_01,A55,9.343,27.450,polyT30
random_net_80_01,A56,-31.663,-11.349,polyT30
