layout,aptamer_count,population_score,capture_probability,p_at_least_2_contacts,mean_contacts,low_receptor_capture,clustered_capture,crowding_penalty
random_net_80_01,80,0.36704,0.56563,0.35437,1.69750,0.32766,0.30345,0.15000
random_net_80_02,80,0.36823,0.56250,0.35563,1.72875,0.32766,0.30345,0.15000
random_net_80_07,80,0.36654,0.56250,0.35375,1.70312,0.33404,0.29655,0.15000
random_net_80_09,80,0.36197,0.56250,0.35187,1.63125,0.34255,0.29483,0.15000
random_net_80_04,80,0.36266,0.56125,0.35375,1.66500,0.32979,0.30000,0.15000
random_net_80_00,80,0.36312,0.56062,0.34500,1.69125,0.33617,0.29138,0.15000
random_net_80_14,80,0.36392,0.55875,0.35313,1.69625,0.32979,0.30345,0.15000
random_net_60_03,60,0.35590,0.55812,0.34188,1.62375,0.33404,0.28966,0.15000
random_net_80_05,80,0.36562,0.55688,0.35125,1.73125,0.33404,0.29655,0.15000
random_net_80_11,80,0.35621,0.55688,0.34813,1.63313,0.32340,0.30000,0.15000
random_net_80_13,80,0.36289,0.55688,0.35687,1.68875,0.33191,0.28966,0.15000
random_net_60_00,60,0.35279,0.55625,0.34250,1.60938,0.32128,0.30172,0.15000
random_net_80_06,80,0.35895,0.55625,0.34313,1.66500,0.33830,0.28793,0.15000
random_net_80_08,80,0.36178,0.55625,0.35313,1.68687,0.33404,0.28448,0.15000
random_net_80_15,80,0.36653,0.55563,0.35562,1.73375,0.33617,0.29828,0.15000
random_net_80_12,80,0.36319,0.55312,0.35625,1.69562,0.34255,0.28966,0.15000
random_net_80_10,80,0.36161,0.55250,0.34937,1.70625,0.33830,0.28793,0.15000
random_net_60_06,60,0.35202,0.55188,0.34875,1.59375,0.33617,0.27931,0.15000
random_net_60_04,60,0.34265,0.55062,0.34000,1.50750,0.32766,0.29310,0.15000
random_net_60_05,60,0.34135,0.55062,0.32500,1.53563,0.32553,0.29138,0.15000
center_net_60,60,0.41824,0.54938,0.34625,1.63813,0.32340,0.28793,0.08400
random_net_60_01,60,0.34802,0.54875,0.34063,1.62813,0.30851,0.29138,0.15000
random_net_60_02,60,0.34233,0.54875,0.33750,1.53313,0.32340,0.28793,0.15000
random_net_60_10,60,0.35267,0.54812,0.34125,1.64937,0.32766,0.29828,0.15000
random_net_60_13,60,0.34600,0.54812,0.34313,1.56375,0.32979,0.27931,0.15000
random_net_48_11,48,0.34218,0.54750,0.32562,1.55250,0.33404,0.28276,0.15000
random_net_80_03,80,0.35420,0.54750,0.34562,1.66250,0.33191,0.28448,0.15000
random_net_48_02,48,0.33879,0.54688,0.32562,1.53938,0.31702,0.29138,0.15000
random_net_60_09,60,0.34242,0.54625,0.32875,1.57500,0.32340,0.28448,0.15000
center_net_48,48,0.43658,0.54563,0.34250,1.60375,0.31915,0.28793,0.06000
random_net_48_00,48,0.33660,0.54563,0.33187,1.47375,0.33404,0.28103,0.15000
random_net_48_13,48,0.34416,0.54563,0.33813,1.57375,0.32553,0.28276,0.15000
random_net_60_07,60,0.34606,0.54563,0.34250,1.59375,0.32128,0.28621,0.15000
random_net_48_08,48,0.33654,0.54500,0.33750,1.48500,0.32128,0.28448,0.15000
random_net_60_11,60,0.34205,0.54500,0.33063,1.55750,0.32979,0.28793,0.15000
random_net_60_14,60,0.34895,0.54500,0.34188,1.62062,0.32979,0.28621,0.15000
random_net_60_12,60,0.34498,0.54438,0.33813,1.58687,0.32766,0.28448,0.15000
net_80_10x8,80,0.36082,0.54437,0.32937,1.48750,0.32128,0.28448,0.12400
random_net_48_07,48,0.34331,0.54437,0.32812,1.50500,0.33191,0.28103,0.14400
random_net_48_15,48,0.36458,0.54313,0.32938,1.59062,0.32979,0.27069,0.12800
random_net_60_15,60,0.33838,0.54187,0.33688,1.53375,0.32340,0.27241,0.15000
ring_net_48,48,0.36811,0.54125,0.33313,1.59375,0.32340,0.27759,0.12400
random_net_48_05,48,0.35582,0.53938,0.33437,1.53250,0.32766,0.28276,0.13200
random_net_48_06,48,0.35555,0.53938,0.33000,1.51313,0.31702,0.27586,0.12800
random_net_48_04,48,0.36589,0.53875,0.33000,1.49750,0.31277,0.28448,0.11600
random_net_60_08,60,0.33614,0.53875,0.33000,1.53438,0.32553,0.27586,0.15000
multi_patch_60,60,0.38460,0.53687,0.32750,1.34625,0.31277,0.27241,0.08400
random_net_36_11,36,0.39134,0.53687,0.31188,1.33250,0.32979,0.27931,0.07600
random_net_48_12,48,0.37178,0.53687,0.33250,1.49750,0.32766,0.28448,0.11200
random_net_36_00,36,0.40203,0.53625,0.32875,1.44188,0.32979,0.26724,0.07600
random_net_48_01,48,0.32633,0.53625,0.32562,1.43687,0.32340,0.27241,0.15000
random_net_48_14,48,0.35835,0.53562,0.33188,1.50687,0.31915,0.28103,0.12400
random_net_48_10,48,0.34656,0.53375,0.32250,1.41187,0.30851,0.27414,0.12400
random_net_48_09,48,0.34492,0.53313,0.32750,1.45500,0.32340,0.27759,0.13200
random_net_36_08,36,0.38748,0.53312,0.31688,1.40687,0.32766,0.27069,0.08400
random_net_36_02,36,0.38423,0.53187,0.31188,1.40563,0.31702,0.27069,0.08400
random_net_36_14,36,0.38467,0.53125,0.31500,1.39188,0.32340,0.27414,0.08400
multi_patch_48,48,0.39339,0.53063,0.30500,1.24438,0.31277,0.26724,0.06000
random_net_48_03,48,0.32150,0.53000,0.32188,1.36500,0.31489,0.26034,0.14400
random_net_36_03,36,0.38636,0.52875,0.32750,1.40750,0.32340,0.25690,0.08400
random_net_36_05,36,0.36948,0.52750,0.31125,1.34937,0.31702,0.26207,0.09200
random_net_36_06,36,0.39450,0.52563,0.30375,1.28438,0.31915,0.26034,0.06000
net_60_10x6,60,0.37239,0.52375,0.31562,1.32125,0.30426,0.25690,0.08400
random_net_36_01,36,0.38458,0.52312,0.31562,1.32750,0.30426,0.25690,0.07200
random_net_36_15,36,0.36811,0.52250,0.31875,1.38625,0.32340,0.25517,0.09600
random_net_36_04,36,0.40357,0.52125,0.31250,1.34750,0.32340,0.25862,0.05600
random_net_36_12,36,0.36856,0.52063,0.30812,1.23438,0.31489,0.25690,0.08000
random_net_36_07,36,0.37483,0.51937,0.32188,1.27875,0.29149,0.26207,0.07600
net_48_8x6,48,0.38682,0.51875,0.30750,1.22688,0.31064,0.26552,0.06000
random_net_36_10,36,0.37942,0.51750,0.30250,1.25375,0.31277,0.26207,0.06800
random_net_36_09,36,0.37682,0.51625,0.31312,1.31688,0.30851,0.25690,0.07600
random_net_36_13,36,0.37661,0.51625,0.30125,1.24125,0.30851,0.25345,0.06800
net_36_9x4,36,0.39341,0.51312,0.28812,1.11062,0.30000,0.25172,0.03600
net_24_6x4,24,0.37966,0.48125,0.25125,0.92812,0.28723,0.24310,0.01200
