layout,formulation,baseline_p10_target,baseline_p10_false_risk,baseline_p10_useful,background_reduction_needed_alone,wash_removal_needed_alone,contact_boost_needed_alone,combined_contact_boost,combined_background_reduction,combined_p10_useful,combined_total_change
triple_ring_24,mixed_spacer_antifouling,0.9207,0.1059,0.7791,0.9700,not_achievable_in_range,not_achievable_in_range,0.1000,0.8400,0.9003,0.9400
hybrid_24,rigid_spacer_PEG,0.9079,0.1294,0.7306,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.1000,0.9100,0.9002,1.0100
broad_grid_24,rigid_spacer_PEG,0.9044,0.1110,0.7297,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.1000,0.9700,0.9006,1.0700
broad_grid_20,rigid_spacer_PEG,0.8655,0.1187,0.7415,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.3750,0.7800,0.9003,1.1550
broad_grid_24,mixed_spacer_antifouling,0.8763,0.0913,0.7474,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.2500,0.9200,0.9005,1.1700
triple_ring_24,rigid_spacer_PEG,0.8618,0.1294,0.6803,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.3000,0.9800,0.9017,1.2800
rescue_24,mixed_spacer_antifouling,0.8230,0.0995,0.7339,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.7000,0.6200,0.9000,1.3200
sunflower_20,mixed_spacer_antifouling,0.8125,0.0759,0.7344,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.7750,0.5600,0.9003,1.3350
hybrid_24,mixed_spacer_antifouling,0.8331,0.1026,0.7125,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.5000,0.8400,0.9007,1.3400
sunflower_24,mixed_spacer_antifouling,0.8166,0.0763,0.6999,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.5000,0.9000,0.9005,1.4000
four_patch_24,mixed_spacer_antifouling,0.8110,0.0840,0.7003,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.6250,0.8000,0.9002,1.4250
rescue_24,polyT30_standard,0.8280,0.2216,0.5458,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.4500,0.9900,0.9002,1.4400
rescue_24,rigid_spacer_PEG,0.8233,0.1225,0.6316,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.4500,0.9900,0.9006,1.4400
broad_grid_20,mixed_spacer_antifouling,0.8122,0.0704,0.6893,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.6250,0.8400,0.9003,1.4650
sunflower_24,rigid_spacer_PEG,0.8066,0.1370,0.6301,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.5250,0.9600,0.9007,1.4850
broad_grid_20,polyT30_PEG_passivated,0.8013,0.0851,0.6567,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.6000,0.9400,0.9005,1.5400
hybrid_24,polyT30_PEG_passivated,0.7954,0.1245,0.6021,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.6000,0.9800,0.9014,1.5800
sunflower_20,rigid_spacer_PEG,0.7939,0.1084,0.6418,not_achievable_in_range,not_achievable_in_range,not_achievable_in_range,0.6000,0.9800,0.9009,1.5800
