layout,formulation,contact_boost,background_reduction,p10_useful_capture,burden
triple_ring_24,mixed_spacer_antifouling,0.1000,0.8400,0.9003,0.9400
triple_ring_24,mixed_spacer_antifouling,0.0750,0.8700,0.9009,0.9450
triple_ring_24,mixed_spacer_antifouling,0.1250,0.8200,0.9010,0.9450
triple_ring_24,mixed_spacer_antifouling,0.1750,0.7700,0.9001,0.9450
triple_ring_24,mixed_spacer_antifouling,0.2000,0.7500,0.9001,0.9500
triple_ring_24,mixed_spacer_antifouling,0.0500,0.9000,0.9011,0.9500
triple_ring_24,mixed_spacer_antifouling,0.1500,0.8000,0.9014,0.9500
triple_ring_24,mixed_spacer_antifouling,0.0250,0.9300,0.9010,0.9550
triple_ring_24,mixed_spacer_antifouling,0.2250,0.7400,0.9013,0.9650
triple_ring_24,mixed_spacer_antifouling,0.0000,0.9700,0.9007,0.9700
triple_ring_24,mixed_spacer_antifouling,0.2500,0.7200,0.9009,0.9700
triple_ring_24,mixed_spacer_antifouling,0.2750,0.7000,0.9003,0.9750
triple_ring_24,mixed_spacer_antifouling,0.3000,0.6900,0.9010,0.9900
triple_ring_24,mixed_spacer_antifouling,0.3250,0.6700,0.9001,0.9950
hybrid_24,rigid_spacer_PEG,0.1000,0.9100,0.9002,1.0100
hybrid_24,rigid_spacer_PEG,0.1500,0.8600,0.9003,1.0100
triple_ring_24,mixed_spacer_antifouling,0.3500,0.6600,0.9006,1.0100
hybrid_24,rigid_spacer_PEG,0.1750,0.8400,0.9008,1.0150
hybrid_24,rigid_spacer_PEG,0.0750,0.9400,0.9005,1.0150
hybrid_24,rigid_spacer_PEG,0.1250,0.8900,0.9012,1.0150
hybrid_24,rigid_spacer_PEG,0.0500,0.9700,0.9005,1.0200
hybrid_24,rigid_spacer_PEG,0.2000,0.8200,0.9010,1.0200
hybrid_24,rigid_spacer_PEG,0.2250,0.8000,0.9010,1.0250
triple_ring_24,mixed_spacer_antifouling,0.3750,0.6500,0.9009,1.0250
hybrid_24,rigid_spacer_PEG,0.2500,0.7800,0.9008,1.0300
hybrid_24,rigid_spacer_PEG,0.2750,0.7600,0.9004,1.0350
triple_ring_24,mixed_spacer_antifouling,0.4000,0.6400,0.9011,1.0400
hybrid_24,rigid_spacer_PEG,0.3000,0.7500,0.9014,1.0500
hybrid_24,rigid_spacer_PEG,0.3250,0.7300,0.9006,1.0550
triple_ring_24,mixed_spacer_antifouling,0.4250,0.6300,0.9012,1.0550
triple_ring_24,mixed_spacer_antifouling,0.4750,0.5900,0.9003,1.0650
broad_grid_24,rigid_spacer_PEG,0.1000,0.9700,0.9006,1.0700
hybrid_24,rigid_spacer_PEG,0.3500,0.7200,0.9013,1.0700
triple_ring_24,mixed_spacer_antifouling,0.4500,0.6200,0.9011,1.0700
triple_ring_24,mixed_spacer_antifouling,0.5000,0.5700,0.9006,1.0700
triple_ring_24,mixed_spacer_antifouling,0.5500,0.5200,0.9001,1.0700
broad_grid_24,rigid_spacer_PEG,0.1250,0.9500,0.9012,1.0750
hybrid_24,rigid_spacer_PEG,0.3750,0.7000,0.9003,1.0750
triple_ring_24,mixed_spacer_antifouling,0.5250,0.5500,0.9009,1.0750
triple_ring_24,mixed_spacer_antifouling,0.5750,0.5000,0.9001,1.0750
broad_grid_24,rigid_spacer_PEG,0.1500,0.9300,0.9015,1.0800
broad_grid_24,rigid_spacer_PEG,0.1750,0.9100,0.9015,1.0850
broad_grid_24,rigid_spacer_PEG,0.2000,0.8900,0.9013,1.0900
hybrid_24,rigid_spacer_PEG,0.4000,0.6900,0.9007,1.0900
triple_ring_24,mixed_spacer_antifouling,0.6000,0.4900,0.9007,1.0900
broad_grid_24,rigid_spacer_PEG,0.2250,0.8700,0.9009,1.0950
broad_grid_24,rigid_spacer_PEG,0.2500,0.8500,0.9002,1.1000
hybrid_24,rigid_spacer_PEG,0.4250,0.6800,0.9009,1.1050
triple_ring_24,mixed_spacer_antifouling,0.6250,0.4800,0.9001,1.1050
broad_grid_24,rigid_spacer_PEG,0.2750,0.8400,0.9012,1.1150
broad_grid_24,rigid_spacer_PEG,0.3000,0.8200,0.9002,1.1200
hybrid_24,rigid_spacer_PEG,0.4500,0.6700,0.9008,1.1200
triple_ring_24,mixed_spacer_antifouling,0.6500,0.4800,0.9009,1.1300
broad_grid_24,rigid_spacer_PEG,0.3250,0.8100,0.9009,1.1350
hybrid_24,rigid_spacer_PEG,0.4750,0.6600,0.9005,1.1350
triple_ring_24,mixed_spacer_antifouling,0.6750,0.4700,0.9003,1.1450
broad_grid_24,rigid_spacer_PEG,0.3500,0.8000,0.9014,1.1500
hybrid_24,rigid_spacer_PEG,0.5000,0.6500,0.9001,1.1500
broad_grid_20,rigid_spacer_PEG,0.3750,0.7800,0.9003,1.1550
broad_grid_20,rigid_spacer_PEG,0.3500,0.8100,0.9004,1.1600
broad_grid_20,rigid_spacer_PEG,0.4000,0.7600,0.9007,1.1600
broad_grid_20,rigid_spacer_PEG,0.3250,0.8400,0.9002,1.1650
broad_grid_20,rigid_spacer_PEG,0.4250,0.7400,0.9008,1.1650
broad_grid_24,rigid_spacer_PEG,0.3750,0.7900,0.9018,1.1650
broad_grid_20,rigid_spacer_PEG,0.4500,0.7200,0.9007,1.1700
broad_grid_24,mixed_spacer_antifouling,0.2500,0.9200,0.9005,1.1700
broad_grid_24,mixed_spacer_antifouling,0.3000,0.8700,0.9005,1.1700
broad_grid_24,rigid_spacer_PEG,0.4000,0.7700,0.9001,1.1700
triple_ring_24,mixed_spacer_antifouling,0.7000,0.4700,0.9009,1.1700
broad_grid_20,rigid_spacer_PEG,0.4750,0.7000,0.9004,1.1750
broad_grid_24,mixed_spacer_antifouling,0.2250,0.9500,0.9009,1.1750
broad_grid_24,mixed_spacer_antifouling,0.2750,0.9000,0.9013,1.1750
broad_grid_24,mixed_spacer_antifouling,0.3250,0.8500,0.9008,1.1750
hybrid_24,rigid_spacer_PEG,0.5250,0.6500,0.9015,1.1750
broad_grid_20,rigid_spacer_PEG,0.3000,0.8800,0.9010,1.1800
broad_grid_20,rigid_spacer_PEG,0.5000,0.6800,0.9001,1.1800
broad_grid_24,mixed_spacer_antifouling,0.2000,0.9800,0.9012,1.1800
broad_grid_24,mixed_spacer_antifouling,0.3500,0.8300,0.9010,1.1800
broad_grid_20,rigid_spacer_PEG,0.2750,0.9100,0.9005,1.1850
broad_grid_24,mixed_spacer_antifouling,0.3750,0.8100,0.9011,1.1850
broad_grid_24,rigid_spacer_PEG,0.4250,0.7600,0.9002,1.1850
triple_ring_24,mixed_spacer_antifouling,0.7250,0.4600,0.9002,1.1850
broad_grid_24,mixed_spacer_antifouling,0.4000,0.7900,0.9009,1.1900
hybrid_24,rigid_spacer_PEG,0.5500,0.6400,0.9009,1.1900
broad_grid_20,rigid_spacer_PEG,0.5250,0.6700,0.9009,1.1950
broad_grid_24,mixed_spacer_antifouling,0.4250,0.7700,0.9007,1.1950
broad_grid_20,rigid_spacer_PEG,0.2500,0.9500,0.9008,1.2000
broad_grid_20,rigid_spacer_PEG,0.5500,0.6500,0.9003,1.2000
broad_grid_24,mixed_spacer_antifouling,0.4500,0.7500,0.9003,1.2000
broad_grid_24,rigid_spacer_PEG,0.4500,0.7500,0.9002,1.2000
hybrid_24,rigid_spacer_PEG,0.5750,0.6300,0.9003,1.2050
triple_ring_24,mixed_spacer_antifouling,0.7500,0.4600,0.9008,1.2100
broad_grid_20,rigid_spacer_PEG,0.2250,0.9900,0.9009,1.2150
broad_grid_20,rigid_spacer_PEG,0.5750,0.6400,0.9010,1.2150
broad_grid_24,mixed_spacer_antifouling,0.4750,0.7400,0.9011,1.2150
broad_grid_24,rigid_spacer_PEG,0.4750,0.7400,0.9001,1.2150
broad_grid_20,rigid_spacer_PEG,0.6000,0.6200,0.9001,1.2200
broad_grid_24,mixed_spacer_antifouling,0.5000,0.7200,0.9005,1.2200
hybrid_24,rigid_spacer_PEG,0.6000,0.6300,0.9015,1.2300
broad_grid_20,rigid_spacer_PEG,0.6250,0.6100,0.9006,1.2350
broad_grid_24,mixed_spacer_antifouling,0.5250,0.7100,0.9011,1.2350
triple_ring_24,mixed_spacer_antifouling,0.7750,0.4600,0.9013,1.2350
broad_grid_24,mixed_spacer_antifouling,0.5500,0.6900,0.9007,1.2400
broad_grid_24,rigid_spacer_PEG,0.5000,0.7400,0.9017,1.2400
broad_grid_24,mixed_spacer_antifouling,0.5750,0.6700,0.9004,1.2450
