field,anchor_id,x_nm,y_nm,linker_construct
clinical_grid_18_4x3_70nm,A001,-120.000,-60.500,polyT30
clinical_grid_18_4x3_70nm,A002,-114.000,-60.500,polyT30
clinical_grid_18_4x3_70nm,A003,-108.000,-60.500,polyT30
clinical_grid_18_4x3_70nm,A004,-102.000,-60.500,polyT30
clinical_grid_18_4x3_70nm,A005,-96.000,-60.500,polyT30
clinical_grid_18_4x3_70nm,A006,-90.000,-60.500,polyT30
clinical_grid_18_4x3_70nm,A007,-120.000,-52.500,polyT30
clinical_grid_18_4x3_70nm,A008,-114.000,-52.500,polyT30
clinical_grid_18_4x3_70nm,A009,-108.000,-52.500,polyT30
clinical_grid_18_4x3_70nm,A010,-102.000,-52.500,polyT30
clinical_grid_18_4x3_70nm,A011,-96.000,-52.500,polyT30
clinical_grid_18_4x3_70nm,A012,-90.000,-52.500,polyT30
clinical_grid_18_4x3_70nm,A013,-120.000,-44.500,polyT30
clinical_grid_18_4x3_70nm,A014,-114.000,-44.500,polyT30
clinical_grid_18_4x3_70nm,A015,-108.000,-44.500,polyT30
clinical_grid_18_4x3_70nm,A016,-102.000,-44.500,polyT30
clinical_grid_18_4x3_70nm,A017,-96.000,-44.500,polyT30
clinical_grid_18_4x3_70nm,A018,-90.000,-44.500,polyT30
clinical_grid_18_4x3_70nm,A019,-120.000,-8.000,polyT30
clinical_grid_18_4x3_70nm,A020,-114.000,-8.000,polyT30
clinical_grid_18_4x3_70nm,A021,-108.000,-8.000,polyT30
clinical_grid_18_4x3_70nm,A022,-102.000,-8.000,polyT30
clinical_grid_18_4x3_70nm,A023,-96.000,-8.000,polyT30
clinical_grid_18_4x3_70nm,A024,-90.000,-8.000,polyT30
clinical_grid_18_4x3_70nm,A025,-120.000,0.000,polyT30
clinical_grid_18_4x3_70nm,A026,-114.000,0.000,polyT30
clinical_grid_18_4x3_70nm,A027,-108.000,0.000,polyT30
clinical_grid_18_4x3_70nm,A028,-102.000,0.000,polyT30
clinical_grid_18_4x3_70nm,A029,-96.000,0.000,polyT30
clinical_grid_18_4x3_70nm,A030,-90.000,0.000,polyT30
clinical_grid_18_4x3_70nm,A031,-120.000,8.000,polyT30
clinical_grid_18_4x3_70nm,A032,-114.000,8.000,polyT30
clinical_grid_18_4x3_70nm,A033,-108.000,8.000,polyT30
clinical_grid_18_4x3_70nm,A034,-102.000,8.000,polyT30
clinical_grid_18_4x3_70nm,A035,-96.000,8.000,polyT30
clinical_grid_18_4x3_70nm,A036,-90.000,8.000,polyT30
clinical_grid_18_4x3_70nm,A037,-120.000,44.500,polyT30
clinical_grid_18_4x3_70nm,A038,-114.000,44.500,polyT30
clinical_grid_18_4x3_70nm,A039,-108.000,44.500,polyT30
clinical_grid_18_4x3_70nm,A040,-102.000,44.500,polyT30
clinical_grid_18_4x3_70nm,A041,-96.000,44.500,polyT30
clinical_grid_18_4x3_70nm,A042,-90.000,44.500,polyT30
clinical_grid_18_4x3_70nm,A043,-120.000,52.500,polyT30
clinical_grid_18_4x3_70nm,A044,-114.000,52.500,polyT30
clinical_grid_18_4x3_70nm,A045,-108.000,52.500,polyT30
clinical_grid_18_4x3_70nm,A046,-102.000,52.500,polyT30
clinical_grid_18_4x3_70nm,A047,-96.000,52.500,polyT30
clinical_grid_18_4x3_70nm,A048,-90.000,52.500,polyT30
clinical_grid_18_4x3_70nm,A049,-120.000,60.500,polyT30
clinical_grid_18_4x3_70nm,A050,-114.000,60.500,polyT30
clinical_grid_18_4x3_70nm,A051,-108.000,60.500,polyT30
clinical_grid_18_4x3_70nm,A052,-102.000,60.500,polyT30
clinical_grid_18_4x3_70nm,A053,-96.000,60.500,polyT30
clinical_grid_18_4x3_70nm,A054,-90.000,60.500,polyT30
clinical_grid_18_4x3_70nm,A055,-50.000,-60.500,polyT30
clinical_grid_18_4x3_70nm,A056,-44.000,-60.500,polyT30
