near_surface_encounters,best_field,single_encounter_capture_probability,projected_cumulative_capture_probability
1,clinical_grid_18_4x3_70nm,0.3063,0.3063
2,clinical_grid_18_4x3_70nm,0.3063,0.5188
3,clinical_grid_18_4x3_70nm,0.3063,0.6662
4,clinical_grid_18_4x3_70nm,0.3063,0.7684
5,clinical_grid_18_4x3_70nm,0.3063,0.8394
6,clinical_grid_18_4x3_70nm,0.3063,0.8886
7,clinical_grid_18_4x3_70nm,0.3063,0.9227
8,clinical_grid_18_4x3_70nm,0.3063,0.9464
9,clinical_grid_18_4x3_70nm,0.3063,0.9628
10,clinical_grid_18_4x3_70nm,0.3063,0.9742
11,clinical_grid_18_4x3_70nm,0.3063,0.9821
12,clinical_grid_18_4x3_70nm,0.3063,0.9876
