field,unit_layout,tile_copies,aptamers_per_tile,total_aptamers,spacing_nm,field_width_nm,field_height_nm,population_evs,capture_probability,mean_contacts,mean_max_contacts,strong_fraction_p_ge_2
clinical_grid_18_4x3_70nm,clinical_grid_18,12,18,216,70,300,165,160,0.3063,0.2779,0.8125,0.0572
clinical_grid_18_5x4_70nm,clinical_grid_18,20,18,360,70,370,218,160,0.3063,0.2686,0.8812,0.0631
clinical_dense_24_5x4_90nm,clinical_dense_24,20,24,480,90,450,262,160,0.3063,0.2961,0.8438,0.0718
clinical_dense_24_3x3_70nm,clinical_dense_24,9,24,216,70,230,165,160,0.2875,0.3776,0.9375,0.0820
clinical_grid_18_3x3_90nm,clinical_grid_18,9,18,162,90,270,195,160,0.2812,0.2408,0.7937,0.0572
clinical_grid_18_5x3_70nm,clinical_grid_18,15,18,270,70,370,165,160,0.2812,0.3780,0.8562,0.0889
clinical_grid_18_3x3_70nm,clinical_grid_18,9,18,162,70,230,165,160,0.2562,0.3566,0.9187,0.0802
clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,18,90,90,60,160,0.2437,0.2451,0.7625,0.0619
clinical_grid_18_4x3_90nm,clinical_grid_18,12,18,216,90,360,195,160,0.2437,0.2549,0.6875,0.0576
clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,24,90,90,60,160,0.2437,0.2780,0.7438,0.0648
clinical_dense_24_4x3_70nm,clinical_dense_24,12,24,288,70,300,165,160,0.2437,0.2395,0.7812,0.0544
clinical_dense_24_5x3_90nm,clinical_dense_24,15,24,360,90,450,195,160,0.2437,0.3084,0.7937,0.0664
clinical_dense_24_5x4_70nm,clinical_dense_24,20,24,480,70,370,218,160,0.2437,0.3375,0.8562,0.0748
clinical_dense_24_5x3_70nm,clinical_dense_24,15,24,360,70,370,165,160,0.2375,0.3348,0.7562,0.0792
clinical_dense_24_4x3_90nm,clinical_dense_24,12,24,288,90,360,195,160,0.2188,0.2648,0.6250,0.0550
clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,24,70,90,60,160,0.1938,0.2122,0.6250,0.0499
clinical_dense_24_3x3_90nm,clinical_dense_24,9,24,216,90,270,195,160,0.1938,0.2119,0.6125,0.0398
clinical_grid_18_1x1_70nm,clinical_grid_18,1,18,18,70,90,60,160,0.1875,0.1852,0.6125,0.0386
clinical_grid_18_5x4_90nm,clinical_grid_18,20,18,360,90,450,262,160,0.1875,0.1975,0.6250,0.0499
clinical_grid_18_5x3_90nm,clinical_grid_18,15,18,270,90,450,195,160,0.1750,0.2084,0.5312,0.0404
