layout,mapped_layout,anchor_id,original_x_nm,original_y_nm,snapped_x_nm,snapped_y_nm,shift_nm,helix_id,base_index,site_id,linker_construct
broad_grid_24,broad_grid_24_lattice,1,-27.000,-15.000,-25.720,-15.000,1.280,4,4,97,polyT30
broad_grid_24,broad_grid_24_lattice,2,-16.200,-15.000,-15.010,-15.000,1.190,4,7,100,polyT30
broad_grid_24,broad_grid_24_lattice,3,-5.400,-15.000,-4.300,-15.000,1.100,4,10,103,polyT30
broad_grid_24,broad_grid_24_lattice,4,5.400,-15.000,6.410,-15.000,1.010,4,13,106,polyT30
broad_grid_24,broad_grid_24_lattice,5,16.200,-15.000,17.120,-15.000,0.920,4,16,109,polyT30
broad_grid_24,broad_grid_24_lattice,6,27.000,-15.000,27.830,-15.000,0.830,4,19,112,polyT30
broad_grid_24,broad_grid_24_lattice,7,-27.000,-5.000,-25.720,-5.000,1.280,8,4,189,polyT30
broad_grid_24,broad_grid_24_lattice,8,-16.200,-5.000,-15.010,-5.000,1.190,8,7,192,polyT30
broad_grid_24,broad_grid_24_lattice,9,-5.400,-5.000,-4.300,-5.000,1.100,8,10,195,polyT30
broad_grid_24,broad_grid_24_lattice,10,5.400,-5.000,6.410,-5.000,1.010,8,13,198,polyT30
broad_grid_24,broad_grid_24_lattice,11,16.200,-5.000,17.120,-5.000,0.920,8,16,201,polyT30
broad_grid_24,broad_grid_24_lattice,12,27.000,-5.000,27.830,-5.000,0.830,8,19,204,polyT30
broad_grid_24,broad_grid_24_lattice,13,-27.000,5.000,-25.720,5.000,1.280,12,4,281,polyT30
broad_grid_24,broad_grid_24_lattice,14,-16.200,5.000,-15.010,5.000,1.190,12,7,284,polyT30
broad_grid_24,broad_grid_24_lattice,15,-5.400,5.000,-4.300,5.000,1.100,12,10,287,polyT30
broad_grid_24,broad_grid_24_lattice,16,5.400,5.000,6.410,5.000,1.010,12,13,290,polyT30
broad_grid_24,broad_grid_24_lattice,17,16.200,5.000,17.120,5.000,0.920,12,16,293,polyT30
broad_grid_24,broad_grid_24_lattice,18,27.000,5.000,27.830,5.000,0.830,12,19,296,polyT30
broad_grid_24,broad_grid_24_lattice,19,-27.000,15.000,-25.720,15.000,1.280,16,4,373,polyT30
broad_grid_24,broad_grid_24_lattice,20,-16.200,15.000,-15.010,15.000,1.190,16,7,376,polyT30
broad_grid_24,broad_grid_24_lattice,21,-5.400,15.000,-4.300,15.000,1.100,16,10,379,polyT30
broad_grid_24,broad_grid_24_lattice,22,5.400,15.000,6.410,15.000,1.010,16,13,382,polyT30
broad_grid_24,broad_grid_24_lattice,23,16.200,15.000,17.120,15.000,0.920,16,16,385,polyT30
broad_grid_24,broad_grid_24_lattice,24,27.000,15.000,27.830,15.000,0.830,16,19,388,polyT30
broad_grid_20,broad_grid_20_lattice,1,-24.000,-14.000,-25.720,-15.000,1.990,4,4,97,polyT30
broad_grid_20,broad_grid_20_lattice,2,-12.000,-14.000,-11.440,-15.000,1.146,4,8,101,polyT30
broad_grid_20,broad_grid_20_lattice,3,0.000,-14.000,-0.730,-15.000,1.238,4,11,104,polyT30
