layout,aptamer_count,population_score,capture_probability,p_at_least_2_contacts,mean_contacts,low_receptor_capture,clustered_capture,crowding_penalty
clinical_dense_24,24,0.47507,0.54000,0.33000,1.53313,0.32979,0.27241,0.01200
clinical_grid_18,18,0.46556,0.52125,0.32000,1.44000,0.30426,0.26724,0.00000
clinical_grid_12,12,0.45430,0.51562,0.31312,1.33375,0.31064,0.26034,0.00000
evo_g2_clinical_grid_18_2,18,0.45051,0.51813,0.31375,1.41687,0.31489,0.26207,0.01200
evo_g2_evo_g1_clinical_grid_18_0_0,19,0.44942,0.52000,0.30938,1.38188,0.31489,0.25345,0.01000
evo_g1_clinical_grid_18_3,18,0.44868,0.52563,0.31688,1.42688,0.32553,0.25862,0.02000
clinical_hybrid_24,24,0.44659,0.51625,0.31437,1.37375,0.31915,0.25000,0.01200
evo_g5_clinical_grid_18_3,19,0.44643,0.52875,0.31312,1.40750,0.32340,0.27586,0.02200
evo_g4_clinical_grid_18_4,18,0.44605,0.51687,0.31813,1.40688,0.31702,0.25517,0.01600
evo_g5_clinical_grid_18_4,18,0.44308,0.52063,0.31812,1.39500,0.31915,0.25345,0.02000
evo_g3_evo_g2_evo_g1_clinical_grid_18_0_0_4,20,0.44275,0.52812,0.31375,1.40688,0.31702,0.26552,0.02400
evo_g5_evo_g1_clinical_grid_18_4_0,20,0.44220,0.52688,0.31875,1.42688,0.32766,0.26379,0.02800
evo_g4_clinical_grid_18_3,18,0.44143,0.51937,0.30688,1.36625,0.31064,0.26552,0.01600
evo_g4_evo_g2_evo_g1_clinical_grid_18_0_0_3,19,0.44132,0.51937,0.31250,1.37562,0.31277,0.26034,0.01800
evo_g5_clinical_grid_18_0,19,0.44099,0.52437,0.31688,1.42625,0.31489,0.26897,0.02600
evo_g3_clinical_grid_18_2,18,0.44095,0.51750,0.32125,1.40375,0.30638,0.25172,0.02000
evo_g1_clinical_grid_18_4,19,0.44017,0.52000,0.31688,1.39625,0.31489,0.25690,0.02200
evo_g2_clinical_dense_24_3,24,0.43965,0.53250,0.32062,1.47437,0.31915,0.26897,0.03600
evo_g5_clinical_dense_24_0,24,0.43964,0.54063,0.32063,1.47812,0.31489,0.28276,0.04000
evo_g3_clinical_dense_24_1,24,0.43960,0.53687,0.32562,1.52375,0.32766,0.26897,0.04400
evo_g4_evo_g1_clinical_grid_18_4_1,19,0.43912,0.52563,0.30938,1.36000,0.31915,0.25690,0.02200
evo_g3_evo_g2_clinical_dense_24_3_2,23,0.43908,0.52312,0.32500,1.43938,0.31915,0.25690,0.03000
evo_g4_evo_g1_clinical_grid_18_4_0,19,0.43906,0.52687,0.31625,1.37500,0.32553,0.25517,0.02600
evo_g2_evo_g1_clinical_grid_18_4_3,19,0.43895,0.51875,0.29938,1.37312,0.31702,0.26207,0.01800
evo_g2_clinical_grid_18_4,19,0.43856,0.52500,0.32312,1.45000,0.30213,0.27241,0.03000
evo_g2_evo_g1_evo_seed_040_4_2,18,0.43813,0.51062,0.29688,1.25562,0.30638,0.25690,0.00400
evo_g5_evo_g4_clinical_grid_18_4_2,17,0.43808,0.51188,0.31188,1.34312,0.31915,0.25517,0.01600
evo_g3_evo_g2_clinical_grid_18_2_1,17,0.43781,0.51312,0.30312,1.32250,0.31064,0.25000,0.01200
evo_g2_evo_g1_clinical_grid_18_3_2,18,0.43733,0.52125,0.31875,1.43125,0.31277,0.25517,0.02800
evo_g1_evo_seed_016_0,23,0.43717,0.52500,0.31625,1.34062,0.33404,0.26034,0.02600
evo_g4_evo_g2_evo_g1_clinical_grid_18_0_0_4,19,0.43709,0.51125,0.31750,1.32063,0.30426,0.25690,0.01400
evo_g5_clinical_grid_18_2,18,0.43618,0.51375,0.31375,1.37187,0.31064,0.25517,0.02000
evo_g1_evo_seed_040_4,18,0.43568,0.51000,0.29313,1.21625,0.31489,0.26207,0.00400
evo_g5_evo_g2_clinical_grid_18_2_4,18,0.43533,0.52500,0.30687,1.35813,0.31277,0.25862,0.02400
evo_g2_clinical_grid_12_3,12,0.43516,0.50625,0.30312,1.27812,0.30851,0.25172,0.00800
evo_g1_clinical_grid_18_0,18,0.43492,0.52250,0.32312,1.40250,0.32128,0.27586,0.03200
evo_g4_evo_g2_clinical_grid_18_2_3,17,0.43491,0.51312,0.30812,1.32375,0.31064,0.25000,0.01600
evo_g3_evo_g2_evo_g1_clinical_grid_18_0_0_1,19,0.43460,0.52187,0.31000,1.36813,0.31915,0.26552,0.02600
evo_g3_clinical_grid_18_1,18,0.43413,0.52000,0.31125,1.36500,0.31277,0.25172,0.02400
evo_g5_evo_g2_clinical_grid_18_2_0,19,0.43366,0.52438,0.31250,1.37563,0.32553,0.26379,0.03000
evo_g2_evo_g1_clinical_grid_18_4_0,20,0.43322,0.52687,0.32375,1.36187,0.31915,0.26724,0.03200
evo_g2_evo_g1_clinical_grid_18_0_2,18,0.43307,0.51937,0.32000,1.38625,0.30851,0.26207,0.02800
evo_g5_clinical_grid_12_4,12,0.43307,0.50375,0.30125,1.25813,0.31915,0.23793,0.00800
evo_g2_evo_g1_clinical_grid_18_3_3,18,0.43269,0.52125,0.32375,1.40875,0.30851,0.26897,0.03200
evo_g4_clinical_grid_18_1,18,0.43264,0.52625,0.32000,1.43625,0.31277,0.26379,0.03600
evo_g1_evo_seed_016_3,23,0.43245,0.52000,0.32250,1.37563,0.32128,0.25172,0.03000
evo_g3_evo_g1_clinical_grid_18_4_0,20,0.43237,0.52438,0.31562,1.35125,0.31277,0.26034,0.02800
evo_g2_evo_g1_clinical_grid_18_0_1,18,0.43221,0.51813,0.30625,1.36375,0.31064,0.25862,0.02400
evo_g5_evo_g4_clinical_grid_18_4_0,19,0.43219,0.52563,0.31062,1.36750,0.31915,0.26207,0.03000
evo_g5_evo_g2_clinical_grid_18_2_1,18,0.43215,0.52125,0.31250,1.38000,0.31277,0.25345,0.02800
evo_g5_evo_g1_clinical_grid_18_4_4,20,0.43215,0.51312,0.32375,1.40875,0.31064,0.24483,0.02800
evo_g2_evo_g1_clinical_grid_18_4_2,20,0.43196,0.52875,0.32562,1.45750,0.31277,0.25345,0.04000
evo_g2_evo_g1_clinical_grid_18_0_3,17,0.43179,0.51000,0.30625,1.30250,0.31064,0.25517,0.01600
evo_seed_048,19,0.43145,0.50875,0.29813,1.19687,0.30851,0.25690,0.00600
evo_g4_evo_g2_evo_g1_clinical_grid_18_4_3_0,19,0.43144,0.51562,0.30500,1.29750,0.31064,0.25000,0.01800
evo_g4_clinical_hybrid_24_3,24,0.43139,0.53000,0.30750,1.33313,0.30638,0.26897,0.02800
