layout,anchor_id,x_nm,y_nm,linker_construct
clinical_dense_24,A01,-15.000,-9.000,polyT30
clinical_dense_24,A02,-9.000,-9.000,polyT30
clinical_dense_24,A03,-3.000,-9.000,polyT30
clinical_dense_24,A04,3.000,-9.000,polyT30
clinical_dense_24,A05,9.000,-9.000,polyT30
clinical_dense_24,A06,15.000,-9.000,polyT30
clinical_dense_24,A07,-15.000,-3.000,polyT30
clinical_dense_24,A08,-9.000,-3.000,polyT30
clinical_dense_24,A09,-3.000,-3.000,polyT30
clinical_dense_24,A10,3.000,-3.000,polyT30
clinical_dense_24,A11,9.000,-3.000,polyT30
clinical_dense_24,A12,15.000,-3.000,polyT30
clinical_dense_24,A13,-15.000,3.000,polyT30
clinical_dense_24,A14,-9.000,3.000,polyT30
clinical_dense_24,A15,-3.000,3.000,polyT30
clinical_dense_24,A16,3.000,3.000,polyT30
clinical_dense_24,A17,9.000,3.000,polyT30
clinical_dense_24,A18,15.000,3.000,polyT30
clinical_dense_24,A19,-15.000,9.000,polyT30
clinical_dense_24,A20,-9.000,9.000,polyT30
clinical_dense_24,A21,-3.000,9.000,polyT30
clinical_dense_24,A22,3.000,9.000,polyT30
clinical_dense_24,A23,9.000,9.000,polyT30
clinical_dense_24,A24,15.000,9.000,polyT30
clinical_grid_18,A01,-15.000,-8.000,polyT30
clinical_grid_18,A02,-9.000,-8.000,polyT30
clinical_grid_18,A03,-3.000,-8.000,polyT30
clinical_grid_18,A04,3.000,-8.000,polyT30
clinical_grid_18,A05,9.000,-8.000,polyT30
clinical_grid_18,A06,15.000,-8.000,polyT30
clinical_grid_18,A07,-15.000,0.000,polyT30
clinical_grid_18,A08,-9.000,0.000,polyT30
clinical_grid_18,A09,-3.000,0.000,polyT30
clinical_grid_18,A10,3.000,0.000,polyT30
clinical_grid_18,A11,9.000,0.000,polyT30
clinical_grid_18,A12,15.000,0.000,polyT30
clinical_grid_18,A13,-15.000,8.000,polyT30
clinical_grid_18,A14,-9.000,8.000,polyT30
clinical_grid_18,A15,-3.000,8.000,polyT30
clinical_grid_18,A16,3.000,8.000,polyT30
clinical_grid_18,A17,9.000,8.000,polyT30
clinical_grid_18,A18,15.000,8.000,polyT30
clinical_grid_12,A01,-12.000,-8.000,polyT30
clinical_grid_12,A02,-4.000,-8.000,polyT30
clinical_grid_12,A03,4.000,-8.000,polyT30
clinical_grid_12,A04,12.000,-8.000,polyT30
clinical_grid_12,A05,-12.000,0.000,polyT30
clinical_grid_12,A06,-4.000,0.000,polyT30
clinical_grid_12,A07,4.000,0.000,polyT30
clinical_grid_12,A08,12.000,0.000,polyT30
clinical_grid_12,A09,-12.000,8.000,polyT30
clinical_grid_12,A10,-4.000,8.000,polyT30
clinical_grid_12,A11,4.000,8.000,polyT30
clinical_grid_12,A12,12.000,8.000,polyT30
evo_g2_clinical_grid_18_2,A01,-9.037,-9.970,polyT30
evo_g2_clinical_grid_18_2,A02,-5.327,-4.102,polyT30
evo_g2_clinical_grid_18_2,A03,-0.913,-7.976,polyT30
evo_g2_clinical_grid_18_2,A04,2.561,-8.124,polyT30
evo_g2_clinical_grid_18_2,A05,6.311,-3.755,polyT30
evo_g2_clinical_grid_18_2,A06,18.500,-5.157,polyT30
evo_g2_clinical_grid_18_2,A07,-19.909,8.025,polyT30
evo_g2_clinical_grid_18_2,A08,-13.962,-0.325,polyT30
evo_g2_clinical_grid_18_2,A09,-0.126,-2.377,polyT30
evo_g2_clinical_grid_18_2,A10,10.534,-0.364,polyT30
evo_g2_clinical_grid_18_2,A11,9.777,5.163,polyT30
evo_g2_clinical_grid_18_2,A12,19.468,-2.490,polyT30
evo_g2_clinical_grid_18_2,A13,-13.183,10.713,polyT30
evo_g2_clinical_grid_18_2,A14,-15.517,12.358,polyT30
evo_g2_clinical_grid_18_2,A15,-10.850,3.771,polyT30
evo_g2_clinical_grid_18_2,A16,0.725,5.216,polyT30
evo_g2_clinical_grid_18_2,A17,2.737,13.319,polyT30
evo_g2_clinical_grid_18_2,A18,12.061,13.571,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A01,-16.802,-5.972,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A02,-8.721,-6.093,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A03,-3.901,-7.511,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A04,4.434,-5.646,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A05,10.590,-3.962,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A06,-10.533,2.346,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A07,-7.897,-11.163,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A08,-2.538,0.745,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A09,10.635,9.336,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A10,23.067,2.873,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A11,-2.465,-4.985,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A12,3.981,-0.508,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A13,-18.047,12.902,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A14,4.696,5.615,polyT30
evo_g2_evo_g1_clinical_grid_18_0_0,A15,-4.282,11.612,polyT30
