scenario,field,unit_layout,tile_copies,total_aptamers,spacing_nm,encounters,single_encounter_target_capture,target_capture_after_encounters,false_capture_risk,damage_or_loss_risk,useful_capture_score
clean_buffer,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,10,0.2437,0.9296,0.0124,0.0489,0.9142
clean_buffer,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,10,0.2437,0.9296,0.0165,0.0489,0.9129
clean_buffer,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,10,0.3063,0.9688,0.1403,0.0489,0.9099
clean_buffer,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,10,0.2812,0.9564,0.1070,0.0489,0.9093
clean_buffer,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,9,0.3063,0.9566,0.1272,0.0441,0.9040
clean_buffer,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,10,0.2875,0.9598,0.1403,0.0489,0.9016
clean_buffer,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,9,0.2812,0.9413,0.0968,0.0441,0.8994
clean_buffer,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,9,0.2437,0.9094,0.0112,0.0441,0.8959
clean_buffer,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,9,0.2437,0.9094,0.0149,0.0441,0.8947
clean_buffer,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,10,0.2562,0.9398,0.1070,0.0489,0.8936
clean_buffer,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,9,0.2875,0.9455,0.1272,0.0441,0.8935
clean_buffer,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,8,0.3063,0.9395,0.1139,0.0393,0.8932
clean_buffer,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,10,0.2812,0.9564,0.1724,0.0489,0.8877
clean_buffer,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,8,0.2812,0.9207,0.0865,0.0393,0.8841
clean_buffer,clinical_grid_18_5x4_70nm,clinical_grid_18,20,360,70,10,0.3063,0.9688,0.2237,0.0489,0.8820
moderate_background,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,10,0.2437,0.9198,0.0288,0.0956,0.8818
clean_buffer,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,9,0.2562,0.9214,0.0968,0.0441,0.8804
clean_buffer,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,8,0.2875,0.9259,0.1139,0.0393,0.8802
clean_buffer,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,9,0.2812,0.9413,0.1566,0.0441,0.8799
clean_buffer,clinical_grid_18_5x4_70nm,clinical_grid_18,20,360,70,9,0.3063,0.9566,0.2038,0.0441,0.8786
moderate_background,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,10,0.2437,0.9198,0.0382,0.0956,0.8780
clean_buffer,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,7,0.3063,0.9154,0.1004,0.0345,0.8756
clean_buffer,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,10,0.2437,0.9296,0.1403,0.0489,0.8731
clean_buffer,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,8,0.2437,0.8831,0.0100,0.0393,0.8714
clean_buffer,clinical_grid_18_5x4_70nm,clinical_grid_18,20,360,70,8,0.3063,0.9395,0.1833,0.0393,0.8706
clean_buffer,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,8,0.2437,0.8831,0.0133,0.0393,0.8704
clean_buffer,clinical_dense_24_5x4_90nm,clinical_dense_24,20,480,90,10,0.3063,0.9688,0.2626,0.0489,0.8690
clean_buffer,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,8,0.2812,0.9207,0.1405,0.0393,0.8669
clean_buffer,clinical_dense_24_5x4_90nm,clinical_dense_24,20,480,90,9,0.3063,0.9566,0.2398,0.0441,0.8667
moderate_background,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,9,0.2437,0.8993,0.0259,0.0865,0.8658
moderate_background,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,9,0.2437,0.8993,0.0345,0.0865,0.8624
clean_buffer,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,8,0.2562,0.8971,0.0865,0.0393,0.8614
clean_buffer,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,7,0.2812,0.8926,0.0761,0.0345,0.8613
clean_buffer,clinical_dense_24_5x4_90nm,clinical_dense_24,20,480,90,8,0.3063,0.9395,0.2163,0.0393,0.8599
clean_buffer,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,7,0.2875,0.8988,0.1004,0.0345,0.8597
clean_buffer,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,9,0.2437,0.9094,0.1272,0.0441,0.8594
clean_buffer,clinical_dense_24_4x3_70nm,clinical_dense_24,12,288,70,10,0.2437,0.9296,0.1829,0.0489,0.8594
clean_buffer,clinical_grid_18_5x4_70nm,clinical_grid_18,20,360,70,7,0.3063,0.9154,0.1624,0.0345,0.8559
clean_buffer,clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,70,10,0.1938,0.8712,0.0165,0.0489,0.8556
clean_buffer,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,6,0.3063,0.8811,0.0867,0.0296,0.8480
clean_buffer,clinical_dense_24_4x3_70nm,clinical_dense_24,12,288,70,9,0.2437,0.9094,0.1663,0.0441,0.8471
clean_buffer,clinical_grid_18_1x1_70nm,clinical_grid_18,1,18,70,10,0.1875,0.8614,0.0124,0.0489,0.8471
clean_buffer,clinical_dense_24_5x4_90nm,clinical_dense_24,20,480,90,7,0.3063,0.9154,0.1920,0.0345,0.8465
clean_buffer,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,7,0.2812,0.8926,0.1241,0.0345,0.8465
clean_buffer,clinical_dense_24_5x3_90nm,clinical_dense_24,15,360,90,10,0.2437,0.9296,0.2237,0.0489,0.8463
moderate_background,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,8,0.2437,0.8730,0.0231,0.0773,0.8439
clean_buffer,clinical_dense_24_5x3_70nm,clinical_dense_24,15,360,70,10,0.2375,0.9239,0.2237,0.0489,0.8412
moderate_background,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,8,0.2437,0.8730,0.0307,0.0773,0.8410
clean_buffer,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,8,0.2437,0.8831,0.1139,0.0393,0.8396
clean_buffer,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,7,0.2437,0.8488,0.0087,0.0345,0.8389
clean_buffer,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,7,0.2437,0.8488,0.0116,0.0345,0.8381
clean_buffer,clinical_dense_24_4x3_90nm,clinical_dense_24,12,288,90,10,0.2188,0.9044,0.1829,0.0489,0.8361
clean_buffer,clinical_dense_24_5x3_90nm,clinical_dense_24,15,360,90,9,0.2437,0.9094,0.2038,0.0441,0.8352
clean_buffer,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,7,0.2562,0.8648,0.0761,0.0345,0.8345
clean_buffer,clinical_dense_24_5x4_70nm,clinical_dense_24,20,480,70,10,0.2437,0.9296,0.2626,0.0489,0.8338
clean_buffer,clinical_grid_18_5x4_70nm,clinical_grid_18,20,360,70,6,0.3063,0.8811,0.1409,0.0296,0.8314
clean_buffer,clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,70,9,0.1938,0.8435,0.0149,0.0441,0.8299
clean_buffer,clinical_dense_24_5x3_70nm,clinical_dense_24,15,360,70,9,0.2375,0.9029,0.2038,0.0441,0.8292
clean_buffer,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,6,0.2875,0.8612,0.0867,0.0296,0.8289
clean_buffer,clinical_dense_24_4x3_70nm,clinical_dense_24,12,288,70,8,0.2437,0.8831,0.1492,0.0393,0.8288
clean_buffer,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,6,0.2812,0.8539,0.0656,0.0296,0.8281
moderate_background,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,10,0.2812,0.9490,0.2336,0.0956,0.8249
clean_buffer,clinical_dense_24_5x4_70nm,clinical_dense_24,20,480,70,9,0.2437,0.9094,0.2398,0.0441,0.8239
clean_buffer,clinical_dense_24_5x4_90nm,clinical_dense_24,20,480,90,6,0.3063,0.8811,0.1670,0.0296,0.8234
moderate_background,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,9,0.2812,0.9333,0.2129,0.0865,0.8220
clean_buffer,clinical_grid_18_1x1_70nm,clinical_grid_18,1,18,70,9,0.1875,0.8327,0.0112,0.0441,0.8203
clean_buffer,clinical_dense_24_4x3_90nm,clinical_dense_24,12,288,90,9,0.2188,0.8805,0.1663,0.0441,0.8201
moderate_background,clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,70,10,0.1938,0.8580,0.0382,0.0956,0.8191
clean_buffer,clinical_dense_24_5x3_90nm,clinical_dense_24,15,360,90,8,0.2437,0.8831,0.1833,0.0393,0.8183
clean_buffer,clinical_dense_24_3x3_90nm,clinical_dense_24,9,216,90,10,0.1938,0.8712,0.1403,0.0489,0.8183
clean_buffer,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,6,0.2812,0.8539,0.1074,0.0296,0.8157
moderate_background,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,8,0.2812,0.9124,0.1917,0.0773,0.8144
moderate_background,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,7,0.2437,0.8389,0.0202,0.0679,0.8144
moderate_background,clinical_grid_18_1x1_70nm,clinical_grid_18,1,18,70,10,0.1875,0.8477,0.0288,0.0956,0.8127
clean_buffer,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,7,0.2437,0.8488,0.1004,0.0345,0.8119
moderate_background,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,7,0.2437,0.8389,0.0269,0.0679,0.8119
clean_buffer,clinical_dense_24_5x3_70nm,clinical_dense_24,15,360,70,8,0.2375,0.8756,0.1833,0.0393,0.8114
moderate_background,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,9,0.3063,0.9500,0.2743,0.0865,0.8111
moderate_background,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,8,0.3063,0.9323,0.2480,0.0773,0.8091
moderate_background,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,10,0.2562,0.9309,0.2336,0.0956,0.8091
moderate_background,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,10,0.3063,0.9627,0.2997,0.0956,0.8090
clean_buffer,clinical_dense_24_5x4_70nm,clinical_dense_24,20,480,70,8,0.2437,0.8831,0.2163,0.0393,0.8083
clean_buffer,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,5,0.3063,0.8322,0.0728,0.0248,0.8060
dirty_biofluid_like,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,10,0.2437,0.8986,0.0568,0.1829,0.8044
moderate_background,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,9,0.2562,0.9121,0.2129,0.0865,0.8033
clean_buffer,clinical_dense_24_4x3_70nm,clinical_dense_24,12,288,70,7,0.2437,0.8488,0.1319,0.0345,0.8026
moderate_background,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,7,0.3063,0.9078,0.2207,0.0679,0.8010
moderate_background,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,9,0.2875,0.9379,0.2743,0.0865,0.8008
moderate_background,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,10,0.2875,0.9528,0.2997,0.0956,0.8006
moderate_background,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,7,0.2812,0.8841,0.1699,0.0679,0.7998
clean_buffer,clinical_dense_24_4x3_90nm,clinical_dense_24,12,288,90,8,0.2188,0.8503,0.1492,0.0393,0.7980
clean_buffer,clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,70,8,0.1938,0.8094,0.0133,0.0393,0.7978
clean_buffer,clinical_dense_24_3x3_90nm,clinical_dense_24,9,216,90,9,0.1938,0.8435,0.1272,0.0441,0.7971
clean_buffer,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,6,0.2562,0.8219,0.0656,0.0296,0.7970
moderate_background,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,8,0.2875,0.9178,0.2480,0.0773,0.7965
moderate_background,clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,70,9,0.1938,0.8306,0.0345,0.0865,0.7965
clean_buffer,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,6,0.2437,0.8038,0.0075,0.0296,0.7957
dirty_biofluid_like,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,10,0.2437,0.8986,0.0751,0.1829,0.7953
clean_buffer,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,6,0.2437,0.8038,0.0100,0.0296,0.7950
dirty_biofluid_like,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,9,0.2437,0.8780,0.0513,0.1663,0.7944
clean_buffer,clinical_dense_24_5x3_90nm,clinical_dense_24,15,360,90,7,0.2437,0.8488,0.1624,0.0345,0.7936
clean_buffer,clinical_grid_18_5x4_70nm,clinical_grid_18,20,360,70,5,0.3063,0.8322,0.1189,0.0248,0.7927
moderate_background,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,8,0.2562,0.8876,0.1917,0.0773,0.7922
moderate_background,clinical_grid_18_1x1_70nm,clinical_grid_18,1,18,70,9,0.1875,0.8195,0.0259,0.0865,0.7889
clean_buffer,clinical_grid_18_1x1_70nm,clinical_grid_18,1,18,70,8,0.1875,0.7977,0.0100,0.0393,0.7871
clean_buffer,clinical_dense_24_5x4_90nm,clinical_dense_24,20,480,90,5,0.3063,0.8322,0.1413,0.0248,0.7862
dirty_biofluid_like,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,9,0.2437,0.8780,0.0679,0.1663,0.7862
moderate_background,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,7,0.2875,0.8905,0.2207,0.0679,0.7857
clean_buffer,clinical_dense_24_5x3_70nm,clinical_dense_24,15,360,70,7,0.2375,0.8403,0.1624,0.0345,0.7857
clean_buffer,clinical_dense_24_5x4_70nm,clinical_dense_24,20,480,70,7,0.2437,0.8488,0.1920,0.0345,0.7849
clean_buffer,clinical_grid_18_5x4_90nm,clinical_grid_18,20,360,90,10,0.1875,0.8614,0.2237,0.0489,0.7842
moderate_background,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,6,0.3063,0.8735,0.1925,0.0585,0.7838
clean_buffer,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,5,0.2875,0.8089,0.0728,0.0248,0.7835
clean_buffer,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,5,0.2812,0.8006,0.0550,0.0248,0.7803
clean_buffer,clinical_grid_18_5x3_90nm,clinical_grid_18,15,270,90,10,0.1750,0.8398,0.1724,0.0489,0.7795
dirty_biofluid_like,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,8,0.2437,0.8520,0.0457,0.1492,0.7791
moderate_background,clinical_grid_18_3x3_90nm,clinical_grid_18,9,162,90,6,0.2812,0.8456,0.1475,0.0585,0.7756
moderate_background,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,6,0.2437,0.7946,0.0174,0.0585,0.7746
moderate_background,clinical_grid_18_3x3_70nm,clinical_grid_18,9,162,70,7,0.2562,0.8554,0.1699,0.0679,0.7739
clean_buffer,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,6,0.2437,0.8038,0.0867,0.0296,0.7736
moderate_background,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,9,0.2812,0.9333,0.3314,0.0865,0.7735
moderate_background,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,10,0.2437,0.9198,0.2997,0.0956,0.7729
moderate_background,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,6,0.2437,0.7946,0.0231,0.0585,0.7725
moderate_background,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,10,0.2812,0.9490,0.3607,0.0956,0.7721
dirty_biofluid_like,clinical_dense_24_1x1_90nm,clinical_dense_24,1,24,90,8,0.2437,0.8520,0.0606,0.1492,0.7720
moderate_background,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,8,0.2812,0.9124,0.3008,0.0773,0.7706
clean_buffer,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,5,0.2812,0.8006,0.0903,0.0248,0.7705
clean_buffer,clinical_dense_24_3x3_90nm,clinical_dense_24,9,216,90,8,0.1938,0.8094,0.1139,0.0393,0.7695
moderate_background,clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,70,8,0.1938,0.7972,0.0307,0.0773,0.7680
moderate_background,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,9,0.2437,0.8993,0.2743,0.0865,0.7679
clean_buffer,clinical_dense_24_4x3_90nm,clinical_dense_24,12,288,90,7,0.2188,0.8119,0.1319,0.0345,0.7678
clean_buffer,clinical_dense_24_4x3_70nm,clinical_dense_24,12,288,70,6,0.2437,0.8038,0.1142,0.0296,0.7659
moderate_background,clinical_dense_24_3x3_70nm,clinical_dense_24,9,216,70,6,0.2875,0.8530,0.1925,0.0585,0.7655
clean_buffer,clinical_grid_18_5x4_90nm,clinical_grid_18,20,360,90,9,0.1875,0.8327,0.2038,0.0441,0.7648
moderate_background,clinical_grid_18_5x3_70nm,clinical_grid_18,15,270,70,7,0.2812,0.8841,0.2689,0.0679,0.7613
moderate_background,clinical_grid_18_1x1_70nm,clinical_grid_18,1,18,70,8,0.1875,0.7852,0.0231,0.0773,0.7591
clean_buffer,clinical_dense_24_5x3_90nm,clinical_dense_24,15,360,90,6,0.2437,0.8038,0.1409,0.0296,0.7585
clean_buffer,clinical_dense_24_1x1_70nm,clinical_dense_24,1,24,70,7,0.1938,0.7674,0.0116,0.0345,0.7577
moderate_background,clinical_grid_18_4x3_90nm,clinical_grid_18,12,216,90,8,0.2437,0.8730,0.2480,0.0773,0.7576
dirty_biofluid_like,clinical_grid_18_1x1_90nm,clinical_grid_18,1,18,90,7,0.2437,0.8188,0.0401,0.1319,0.7569
clean_buffer,clinical_grid_18_5x3_90nm,clinical_grid_18,15,270,90,9,0.1750,0.8093,0.1566,0.0441,0.7565
moderate_background,clinical_grid_18_5x4_70nm,clinical_grid_18,20,360,70,8,0.3063,0.9323,0.3817,0.0773,0.7543
moderate_background,clinical_grid_18_4x3_70nm,clinical_grid_18,12,216,70,5,0.3063,0.8250,0.1632,0.0490,0.7532
