scenario,layout,aptamer_count,active_aptamers,mean_diameter_nm,mean_receptors,active_aptamer_fraction,linker_reach_multiplier,diffusion_nm2_per_s,k_on_per_step,k_off_per_s,nonspecific_per_encounter,damage_per_encounter,activity_loss_per_encounter,single_encounter_capture,best_encounters,target_capture,false_capture_risk,damage_risk,useful_capture_score
1,clinical_grid_12,12,12,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.04167,10,0.30278,0.11782,0.09768,0.27520
1,clinical_grid_18,18,15,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.12500,10,0.67504,0.17191,0.09768,0.59592
1,clinical_dense_24,24,23,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.12500,10,0.67504,0.22300,0.09768,0.57927
1,clinical_hybrid_24,24,21,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.20833,10,0.85795,0.22300,0.09768,0.73623
1,clinical_rescue_24,24,22,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.12500,10,0.67504,0.22300,0.09768,0.57927
2,clinical_grid_12,12,9,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.04167,10,0.32719,0.32288,0.12195,0.26266
2,clinical_grid_18,18,16,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.12500,10,0.71047,0.44607,0.12195,0.52845
2,clinical_dense_24,24,18,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.04167,10,0.32719,0.54871,0.12195,0.22729
2,clinical_hybrid_24,24,19,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.08333,10,0.55469,0.54871,0.12195,0.38533
2,clinical_rescue_24,24,18,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.04167,10,0.32719,0.54871,0.12195,0.22729
3,clinical_grid_12,12,6,78.10271,5.16452,0.63254,1.12216,42.16924,0.09637,0.11807,0.04141,0.01809,0.02004,0.12500,10,0.70303,0.24418,0.16683,0.58116
3,clinical_grid_18,18,11,78.10271,5.16452,0.63254,1.12216,42.16924,0.09637,0.11807,0.04141,0.01809,0.02004,0.20833,10,0.87930,0.34487,0.16683,0.68519
